documentTitle,current_iri,doc_created,doc_modified,publisher,license_statement,license_uri,citation,creator,comment,accessUrl,browserRedirectUri,dcterms_isPartOf,abstract
Darwin Core Text Guide,http://rs-test.tdwg.org/dwc/terms/guides/text/,2014-11-08,2014-11-08,Biodiversity Information Standards (TDWG),Licensed under a Creative Commons Attribution 4.0 International (CC BY) License.,http://creativecommons.org/licenses/by/4.0/,Darwin Core Task Group. 2014. Darwin Core Text Guide. Biodiversity Information Standards (TDWG). http://rs-test.tdwg.org/dwc/terms/guides/text/,TDWG Darwin Core Task Group,,http://rs-test.tdwg.org/dwc/terms/guides/text/index.htm,https://dwc.tdwg.org/text/,http://www.tdwg.org/standards/450,This document provides guidelines for implementing Darwin Core in Text files.
Darwin Core XML Guide,http://rs-test.tdwg.org/dwc/terms/guides/xml/,2014-11-08,2014-11-08,Biodiversity Information Standards (TDWG),Licensed under a Creative Commons Attribution 4.0 International (CC BY) License.,http://creativecommons.org/licenses/by/4.0/,Darwin Core Task Group. 2014. Darwin Core XML Guide. Biodiversity Information Standards (TDWG). http://rs-test.tdwg.org/dwc/terms/guides/xml/,TDWG Darwin Core Task Group,,http://rs-test.tdwg.org/dwc/terms/guides/xml/index.htm,https://dwc.tdwg.org/xml/,http://www.tdwg.org/standards/450,This document provides guidelines for the implementation of Darwin Core in XML.
Simple Darwin Core,http://rs-test.tdwg.org/dwc/terms/simple/,2014-11-08,2014-11-08,Biodiversity Information Standards (TDWG),Licensed under a Creative Commons Attribution 4.0 International (CC BY) License.,http://creativecommons.org/licenses/by/4.0/,Darwin Core Task Group. 2014. Simple Darwin Core. Biodiversity Information Standards (TDWG). http://rs-test.tdwg.org/dwc/terms/simple/,TDWG Darwin Core Task Group,,http://rs-test.tdwg.org/dwc/terms/simple/index.htm,https://dwc.tdwg.org/simple/,http://www.tdwg.org/standards/450,"This document is a reference for the Simple Darwin Core standard, a mechanism used to share biodiversity information using the simplest methods and structure.  "
Darwin Core Namespace Policy,http://rs-test.tdwg.org/dwc/terms/namespace/,2014-11-08,2014-11-08,Biodiversity Information Standards (TDWG),Licensed under a Creative Commons Attribution 4.0 International (CC BY) License.,http://creativecommons.org/licenses/by/4.0/,Darwin Core Task Group. 2014. Darwin Core Namespace Policy. Biodiversity Information Standards (TDWG). http://rs-test.tdwg.org/dwc/terms/namespace/,TDWG Darwin Core Task Group,,http://rs-test.tdwg.org/dwc/terms/namespace/index.htm,https://dwc.tdwg.org/namespace/,http://www.tdwg.org/standards/450,"All terms in the Darwin Core must be assigned a unique Uniform Resource Identifier (URI). For convenience, the term URIs that are assigned and managed by the Darwin Core Task Group are grouped into collections known as Darwin Core namespaces. This document describes how term URIs are allocated by the Darwin Core Task Group and the policies associated with Darwin Core namespaces. "
TDWG Access Protocol for Information Retrieval (TAPIR) Executive Summary,http://rs-test.tdwg.org/tapir/doc/summary/,2007-08-28,2007-08-28,Biodiversity Information Standards (TDWG),Licensed under a Creative Commons Attribution 3.0 Unported (CC BY) license,http://creativecommons.org/licenses/by/3.0/,TAPIR Task Group. 2007. TDWG Access Protocol for Information Retrieval (TAPIR) Executive Summary. Biodiversity Information Standards (TDWG). http://rs-test.tdwg.org/tapir/doc/summary/,TDWG TAPIR Task Group,,http://www.tdwg.org/activities/tapir/executive-summary/,http://www.tdwg.org/activities/tapir/executive-summary/,http://www.tdwg.org/standards/449,"TAPIR is a computer protocol designed for discovery, search and retrieval of distributed data over the Internet. TAPIR consists of a specification that determines how client applications seeking information should communicate with server applications hosting data. This document summarizes the key concepts and features of TAPIR."
TDWG Access Protocol for Information Retrieval (TAPIR) Protocol Specification,http://rs-test.tdwg.org/tapir/doc/specification/,2010-05-05,2010-05-05,Biodiversity Information Standards (TDWG),Licensed under a Creative Commons Attribution 3.0 Unported (CC BY) license,http://creativecommons.org/licenses/by/3.0/,TAPIR Task Group. 2010. TDWG Access Protocol for Information Retrieval (TAPIR) Protocol Specification. Biodiversity Information Standards (TDWG). http://rs-test.tdwg.org/tapir/doc/specification/,TDWG TAPIR Task Group,,http://tdwg.github.io/tapir/docs/tdwg_tapir_specification_2010-05-05.html,http://tdwg.github.io/tapir/docs/tdwg_tapir_specification_2010-05-05.html,http://www.tdwg.org/standards/449,This document specifies the TAPIR protocol and the structure and syntax of TAPIR messages.  
TDWG Access Protocol for Information Retrieval (TAPIR) XML Schema ,http://rs-test.tdwg.org/tapir/doc/xmlschema/,2009-02-05,2009-02-05,Biodiversity Information Standards (TDWG),Licensed under a Creative Commons Attribution 3.0 Unported (CC BY) license,http://creativecommons.org/licenses/by/3.0/,TAPIR Task Group. 2009. TDWG Access Protocol for Information Retrieval (TAPIR) XML Schema. Biodiversity Information Standards (TDWG). http://rs-test.tdwg.org/tapir/doc/xmlschema/,TDWG TAPIR Task Group,,http://tdwg.github.io/tapir/schema/tapir.xsd,http://tdwg.github.io/tapir/schema/tapir.xsd,http://www.tdwg.org/standards/449,"TAPIR XML Schema. TAPIR is an acronym for TDWG Access Protocol for Information Retrieval. It is a unified and extended protocol based on DiGIR and BioCASe. TAPIR specifies a standardised, stateless, HTTP transmittable, XML-based request and response protocol for accessing structured data that may be stored on any number of distributed databases of varied physical and logical structure.  "
TDWG Access Protocol for Information Retrieval (TAPIR) Concept Aliases,http://rs-test.tdwg.org/tapir/doc/conceptaliases/,2015-06-01,2015-06-01,Biodiversity Information Standards (TDWG),Licensed under a Creative Commons Attribution 3.0 Unported (CC BY) license,http://creativecommons.org/licenses/by/3.0/,TAPIR Task Group. 2015. TDWG Access Protocol for Information Retrieval (TAPIR) Concept Aliases. Biodiversity Information Standards (TDWG). http://rs-test.tdwg.org/tapir/doc/conceptaliases/,TDWG TAPIR Task Group,,http://tdwg.github.io/tapir/cns/alias.txt,http://tdwg.github.io/tapir/cns/alias.txt,http://www.tdwg.org/standards/449,Globally unique aliases for concepts. The aliases listed here are only unique within their concept source. 
TDWG Access Protocol for Information Retrieval (TAPIR) Network Builders' Guide,http://rs-test.tdwg.org/tapir/doc/guide/,2015-06-03,2015-06-03,Biodiversity Information Standards (TDWG),Licensed under a Creative Commons Attribution 3.0 Unported (CC BY) license,http://creativecommons.org/licenses/by/3.0/,TAPIR Task Group. 2015. TDWG Access Protocol for Information Retrieval (TAPIR) Network Builders' Guide. Biodiversity Information Standards (TDWG). http://rs-test.tdwg.org/tapir/doc/guide/,TDWG TAPIR Task Group,,http://tdwg.github.io/tapir/docs/TAPIRNetworkBuildersGuide_2010-05-05.html,http://tdwg.github.io/tapir/docs/TAPIRNetworkBuildersGuide_2010-05-05.html,http://www.tdwg.org/standards/449,This document provides guidelines for building networks based on the TAPIR protocol.  
TDWG Access Protocol for Information Retrieval (TAPIR) Output Models and Query Templates,http://rs-test.tdwg.org/tapir/doc/models/,2015-11-25,2015-11-25,Biodiversity Information Standards (TDWG),Licensed under a Creative Commons Attribution 3.0 Unported (CC BY) license,http://creativecommons.org/licenses/by/3.0/,TAPIR Task Group. 2015. TDWG Access Protocol for Information Retrieval (TAPIR) Output Models and Query Templates. Biodiversity Information Standards (TDWG). http://rs-test.tdwg.org/tapir/doc/models/,TDWG TAPIR Task Group,,http://tdwg.github.io/tapir/cs/,http://tdwg.github.io/tapir/cs/,http://www.tdwg.org/standards/449,This page is an index to TAPIR XML models and query templates.
Access to Biological Collection Data (ABCD) Primer,http://rs-test.tdwg.org/abcd/doc/primer/,2006-07-27,2006-07-27,Biodiversity Information Standards (TDWG),Licensed under a Creative Commons Attribution 3.0 Unported (CC BY) license,http://creativecommons.org/licenses/by/3.0/,TDWG Access to Biological Collections Data (ABCD) Task Group 2006. Access to Biological Collections Data (ABCD) Primer. Biodiversity Information Standards (TDWG). http://rs-test.tdwg.org/abcd/doc/primer/,TDWG Access to Biological Collections Data (ABCD) Task Group,,https://raw.githubusercontent.com/tdwg/wiki-archive/master/twiki/data/ABCD/AbcdPrimer.txt,https://github.com/tdwg/wiki-archive/blob/master/twiki/data/ABCD/AbcdPrimer.txt,http://www.tdwg.org/standards/115,This primer is intended to provide an easily readable background to ABCD and should take anyone with no knowledge of the standard to the very point where they would be able to understand the principles and the more detailed technical specification. Examples are given which are complemented by references to the normative texts.
Access to Biological Collection Data (ABCD) XML Schema,http://rs-test.tdwg.org/abcd/doc/xmlschema/,2007-06-13,2007-06-13,Biodiversity Information Standards (TDWG),Licensed under a Creative Commons Attribution 3.0 Unported (CC BY) license,http://creativecommons.org/licenses/by/3.0/,TDWG Access to Biological Collections Data (ABCD) Task Group 2007. Access to Biological Collections Data (ABCD) XML Schema. Biodiversity Information Standards (TDWG). http://rs-test.tdwg.org/abcd/doc/xmlschema/,TDWG Access to Biological Collections Data (ABCD) Task Group,See also https://rawgit.com/tdwg/abcd/master/2.06/rddl-2007-10-18.html,https://raw.githubusercontent.com/tdwg/abcd/master/2.06/ABCD_2.06.xsd,http://rs-test.tdwg.org/abcd/2.06/ABCD_2.06.xsd,http://www.tdwg.org/standards/115,XML schema document for the Access to Biological Collection Data standard.
Introduction and Primer to the Structured Descriptive Data (SDD) Standard,http://rs-test.tdwg.org/sdd/doc/introduction/,2006-05-11,2006-05-11,Biodiversity Information Standards (TDWG),License not asserted,,Structure of Descriptive Data (SDD) Subgroup. 2006. Introduction and Primer to the Structured Descriptive Data (SDD) Standard. Biodiversity Information Standards (TDWG). http://rs-test.tdwg.org/sdd/doc/introduction/,Structure of Descriptive Data (SDD) Subgroup,,https://raw.githubusercontent.com/tdwg/wiki-archive/master/twiki/data/SDD/Primer/SddIntroduction.txt,https://github.com/tdwg/wiki-archive/blob/master/twiki/data/SDD/Primer/SddIntroduction.txt,http://www.tdwg.org/standards/116,"This document is a non-normative introduction to the Taxonomic Databases Working Group SDD (Structure of Descriptive Data) Standard. Its intention is to provide a background, introduction and primer to the SDD Standard, with examples."
Structured Descriptive Data XML Schema,http://rs-test.tdwg.org/sdd/doc/xmlschema/,2006-05-11,2006-05-11,Biodiversity Information Standards (TDWG),License not asserted,,Structure of Descriptive Data (SDD) Subgroup. 2006. Structured Descriptive Data XML Schema. Biodiversity Information Standards (TDWG). http://rs-test.tdwg.org/sdd/doc/xmlschema/,Structure of Descriptive Data (SDD) Subgroup,See also https://rawgit.com/tdwg/sdd/master/2006/rddl.html and https://github.com/tdwg/sdd/blob/master/2006/Schema/1.1/UBIF_(c).xsd,https://raw.githubusercontent.com/tdwg/sdd/master/2006/Schema/1.1/SDD.xsd,https://github.com/tdwg/sdd/blob/master/2006/Schema/1.1/SDD.xsd,http://www.tdwg.org/standards/116,This is the schema file to be referenced in instance documents for validation. It is the top level schema file that integrates the schema components. 
Taxon Concept Schema User Guide,http://rs-test.tdwg.org/tcs/doc/guide/,2006-09-21,2006-09-21,Biodiversity Information Standards (TDWG),License not asserted,,Taxonomic Names Subgroup. 2006. Taxon Concept Schema User Guide. Biodiversity Information Standards (TDWG). http://rs-test.tdwg.org/tcs/doc/guide/,Taxonomic Names Subgroup,,https://github.com/tdwg/tcs/raw/master/TCS101/UserGuidev_1.3.pdf,https://github.com/tdwg/tcs/blob/master/TCS101/UserGuidev_1.3.pdf,http://www.tdwg.org/standards/117,"This guide is meant to act as a readable introduction to the Taxon Concept Schema (TCS). It is aimed at both decision makers and implementers of systems and so the content varies from being of a general nature, assuming little prior knowledge of taxonomy or XML technologies, to being quite detailed concerning the technicalities of biological nomenclature and XML schemas. Generally it becomes more specific as it goes on. This document is not a step by step manual for mapping a data source to a TCS document. Each data source is likely to be different in structure and so this is not a feasible exercise. What it attempts to do is provided the information needed for an implementer to make intelligent decisions as to how their data source should be mapped to the schema so that they can publish and/or receive data from other systems with as little confusion as possible. "
Taxon Concept Schema XML Schema,http://rs-test.tdwg.org/tcs/doc/xmlschema/,2006-09-21,2006-09-21,Biodiversity Information Standards (TDWG),License not asserted,,Taxonomic Names Subgroup. 2006. Taxon Concept Schema XML Schema. Biodiversity Information Standards (TDWG). http://rs-test.tdwg.org/tcs/doc/xmlschema/,Taxonomic Names Subgroup,,https://raw.githubusercontent.com/tdwg/tcs/master/TCS101/v101.xsd,https://github.com/tdwg/tcs/blob/master/TCS101/v101.xsd,http://www.tdwg.org/standards/117,This document is the validation schema for Taxon Concept Schema XML documents.
Definition of the Delta Format,http://rs-test.tdwg.org/delta/doc/definition/,2005-09-13,2005-09-13,Commonwealth Scientific and Industrial Research Organisation (CSIRO),Conditions of use at http://delta-intkey.com/www/use.htm,,"Dallwitz, M. J. and T. A. Paine. 1999 onwards. Definition of the Delta Format. Version: 2005-09-13. http://delta-intkey.com/",M. J. Dallwitz and T. A. Paine,See http://delta-intkey.com/www/overview.htm for an overview and http://delta-intkey.com/www/use.htm for conditions of use.,https://github.com/tdwg/delta/raw/master/107-516-1-ED.pdf,https://github.com/tdwg/delta/blob/master/107-516-1-ED.pdf,http://www.tdwg.org/standards/107,"This document is primarily for the benefit of programmers, and contains more detail than would usually be required by users of the DELTA format. It provides an introduction to the format, and details necessary to encode data in the format."
Natural Collections Description (NCD) Guide,http://rs-test.tdwg.org/ncd/doc/guide/,2008-08-12,2008-08-12,Biodiversity Information Standards (TDWG),License not asserted,,TDWG Natural Collections Descriptions (NCD) Task Group. 2008. Natural Collections Description (NCD) Guide. Biodiversity Information Standards (TDWG). http://rs-test.tdwg.org/ncd/doc/guide/,TDWG Natural Collections Descriptions (NCD) Task Group,,https://github.com/tdwg/ncd/raw/master/NCD-v090_TDWG/NCD-v090_TDWG-NonNormative.doc,https://github.com/tdwg/ncd/blob/master/NCD-v090_TDWG/NCD-v090_TDWG-NonNormative.doc,http://www.tdwg.org/standards/312,"Natural Collections Description (NCD) is a data standard for describing collections of natural history materials at the collection level; one NCD record describes one entire collection. The NCD standard covers all types of natural history collections, such as specimens, original artwork, archives, observations, library materials, datasets, photographs or mixed collections such as those that result from expeditions and voyages of discovery.  This document accompanies the normative part of the NCD standard. The standard consists of the series of class and property definitions and is presented in a separate document. "
Natural Collections Description (NCD) Specification,http://rs-test.tdwg.org/ncd/doc/specification/,2008-08-12,2008-08-12,Biodiversity Information Standards (TDWG),License not asserted,,TDWG Natural Collections Descriptions (NCD) Task Group. 2008. Natural Collections Description (NCD) Specification. Biodiversity Information Standards (TDWG). http://rs-test.tdwg.org/ncd/doc/guide/,TDWG Natural Collections Descriptions (NCD) Task Group,,https://github.com/tdwg/ncd/raw/master/NCD-v090_TDWG/NCD-v090_TDWG-Normative.doc,https://github.com/tdwg/ncd/blob/master/NCD-v090_TDWG/NCD-v090_TDWG-Normative.doc,http://www.tdwg.org/standards/312,This normative document provides the fields and definitions for terms in the standard.
ABCDDNA DNA Extension for Access to Biological Collection Data Guide,http://rs-test.tdwg.org/abcddna/doc/guide/,2010-08-04,2010-08-04,Biodiversity Information Standards (TDWG),Licensed under a Creative Commons Attribution 3.0 Unported (CC BY) license,http://creativecommons.org/licenses/by/3.0/,TDWG Access to Biological Collections Data (ABCD) Task Group. 2010. ABCDDNA DNA Extension for Access to Biological Collection Data Guide. Biodiversity Information Standards (TDWG). http://rs-test.tdwg.org/abcddna/doc/guide/,TDWG Access to Biological Collections Data (ABCD) Task Group,See also http://data.ggbn.org/ggbn_portal/,https://github.com/tdwg/abcddna/raw/master/640-3005-1-SM.pdf,https://github.com/tdwg/abcddna/blob/master/640-3005-1-SM.pdf,http://www.tdwg.org/standards/640,"This document specifies ABCDDNA, the DNA extension for ABCD 2.06 (Access to Biological Collections Data). ABCDDNA is a theme specific extension for ABCD created to facilitate storage and exchange of data related to DNA collection units, such as DNA extraction specifics, DNA quality parameters, and data characterising products of downstream applications, along with the relation to the analysed voucher specimen. "
ABCDDNA DNA Extension for Access to Biological Collection Data XML Schema,http://rs-test.tdwg.org/abcddna/doc/xmlschema/,2010-08-04,2010-08-04,Biodiversity Information Standards (TDWG),Licensed under a Creative Commons Attribution 3.0 Unported (CC BY) license,http://creativecommons.org/licenses/by/3.0/,DNA Bank Network. 2010. ABCDDNA DNA Extension for Access to Biological Collection Data XML Schema. DNA Bank Network. http://rs-test.tdwg.org/abcddna/doc/xmlschema/,DNA Bank Network,,http://www.dnabank-network.org/schemas/ABCDDNA/ABCDDNA.xsd,http://www.dnabank-network.org/schemas/ABCDDNA/ABCDDNA.xsd,http://www.tdwg.org/standards/640,This document is the validation schema for ABCDDNA XML documents.
HISPID3 Herbarium Information Standards and Protocols for Interchange of Data,http://rs-test.tdwg.org/hispid/doc/specification/,1989,2007-05-11,Council of Heads of Australian Herbaria,License not asserted,,Herbarium Information Systems Committee. 2007. HISPID3 Herbarium Information Standards and Protocols for Interchange of Data. Council of Heads of Australian Herbaria. http://rs-test.tdwg.org/hispid/doc/specification/,Herbarium Information Systems Committee,,https://raw.githubusercontent.com/tdwg/prior-standards/master/hispid3/110-540-1-RV.html,https://rawgit.com/tdwg/prior-standards/master/hispid3/110-540-1-RV.html,http://www.tdwg.org/standards/110,This document describes the form of HISPID3 records and the fields that can be included in an interchange flat file.
Economic Botany Data Collection Standard,http://rs-test.tdwg.org/ebdc/doc/specification/,1995,1995,"Royal Botanic Gardens, Kew","Copyright The Board of Trustees of the Royal Botanic Gardens, Kew 1995",,"TDWG Economic Botany Subgroup (Author: Frances E. M. Cook). 1995. Economic Botany Data Collection Standard. Royal Botanic Gardens, Kew. http://rs-test.tdwg.org/ebdc/doc/specification/",Economic Botany Subgroup,This document was available in print.  The linked document is a scan of the print book.,https://www.kew.org/sites/default/files/EconomicBotanyStandard_FEMCook_1995_TDWG_0.pdf,https://www.kew.org/sites/default/files/EconomicBotanyStandard_FEMCook_1995_TDWG_0.pdf,http://www.tdwg.org/standards/103,"The aim of the Economic Botany Data Collection Standard is to provide a system whereby uses of plants (in their cultural context) can be described, using standardised descriptors and terms, and attached to taxonomic data sets. This book describes the structure and implementation of the standard."
Plant Occurrence and Status Scheme: A Standard for Recording the Relationship between a Plant and a Place,http://rs-test.tdwg.org/poss/doc/specification/,1995-11,1995-11,International Working Group on Taxonomic Databases (TDWG),License not asserted,,World Conservation Monitoring Centre. 1995. Plant Occurrence and Status Scheme: A Standard for Recording the Relationship between a Plant and a Place. International Working Group on Taxonomic Databases (TDWG). http://rs-test.tdwg.org/poss/doc/specification/,World Conservation Monitoring Centre,,https://github.com/tdwg/prior-standards/raw/master/poss/106-522-1-RV.pdf,https://github.com/tdwg/prior-standards/blob/master/poss/106-522-1-RV.pdf,http://www.tdwg.org/standards/106,This document describes the general principles of POSS and describes the data fields and their suggested values.
Plant Names in Botanical Databases,http://rs-test.tdwg.org/pnbd/doc/specification/,1994-12,1994-12,Hunt Institute for Botanical Documentation,Copyright 1994 by International Working Group on Taxonomic Databases for Plant Sciences (TDWG) All Rights Reserved,,TDWG Minimum Standard for Names in Botanical Databases Subgroup (Author: Frank A. Bisby). 1994. Plant Names in Botanical Databases. Hunt Institute for Botanical Documentation. http://rs-test.tdwg.org/pnbd/doc/specification/,Minimum Standard for Names in Botanical Databases Subgroup,Note: the introduction of this publication provides some historical information about TDWG and early standards it produced or adopted from elsewhere.,https://github.com/tdwg/prior-standards/raw/master/plant-names-in-botanical-databases/113-528-1-RV.pdf,https://github.com/tdwg/prior-standards/blob/master/plant-names-in-botanical-databases/113-528-1-RV.pdf,http://www.tdwg.org/standards/113,"This standard defines the taxonomic and nomenclatural concepts associated with the names of plants. It describes the component parts, their functions and their interrelations of significance in structuring a database. "
