term_localName,label_en,label_cs,label_de,label_es,label_fr,label_ko,label_nl,label_ru,label_zh-Hans,label_zh-Hant,rdfs_comment_en,rdfs_comment_cs,rdfs_comment_de,rdfs_comment_es,rdfs_comment_fr,rdfs_comment_ko,rdfs_comment_nl,rdfs_comment_ru,rdfs_comment_zh-Hans,rdfs_comment_zh-Hant,dcterms_description_en,dcterms_description_cs,dcterms_description_de,dcterms_description_es,dcterms_description_fr,dcterms_description_ko,dcterms_description_nl,dcterms_description_ru,dcterms_description_zh-Hans,dcterms_description_zh-Hant,examples_en,examples_cs,examples_de,examples_es,examples_fr,examples_ko,examples_nl,examples_ru,examples_zh-Hans,examples_zh-Hant
acceptedNameUsage,Accepted Name Usage,Užití přijatého názvu,,Nombre aceptado en uso,Usage du nom accepté,,,,,有效學名使用,"The full name, with authorship and date information if known, of the currently valid (zoological) or accepted (botanical) dwc:Taxon.","Úplný název aktuálně platného (zoologického) nebo přijatého (botanického) dwc:Taxon s uvedením autorství a data, pokud je známo.",,"El nombre completo, con autoría e información de fecha si se conoce, del taxón actualmente válido (zoológico) o aceptado (botánico) dwc:Taxon.","Le nom complet, avec les informations relatives à l'auteur et à la date si elles sont connues, du dwc:Taxon actuellement considéré valide (en zoologie) ou accepté (en botanique).",,,,,目前有效（動物）或接受（植物）並包含命名作者及年代（若已知）的完整學名。,"The full scientific name, with authorship and date information if known, of the accepted (botanical) or valid (zoological) name in cases where the provided dwc:scientificName is considered by the reference indicated in the dwc:nameAccordingTo property, or of the content provider, to be a synonym or misapplied name. When applied to a dwc:Organism or dwc:Occurrence, this term should be used in cases where a content provider regards the provided dwc:scientificName to be inconsistent with the taxonomic perspective of the content provider. For example, there are many discrepancies within specimen collections and observation datasets between the recorded name (e.g., the most recent identification from an expert who examined a specimen, or a field identification for an observed dwc:Organism), and the name asserted by the content provider to be taxonomically accepted.","Úplný vědecký název s údaji o autorství a datu, pokud jsou známy, přijatého (botanického) nebo platného (zoologického) názvu v případech, kdy je uvedený dwc:scientificName považován odkazem uvedeným ve vlastnosti dwc:nameaccordingTo nebo poskytovatelem obsahu za synonymum nebo nesprávně použitý název. Při použití pro dwc:Organism nebo dwc:Occurrence by měl být tento termín použit v případech, kdy poskytovatel obsahu považuje poskytnutý dwc:scientificName za neslučitelný s taxonomickým pohledem poskytovatele obsahu. Například v rámci sbírek exemplářů a datových sad pozorování existuje mnoho rozporů mezi zaznamenaným názvem (např. nejnovější identifikací od odborníka, který zkoumal exemplář, nebo terénní identifikací pozorovaného dwc:Organism) a názvem, o kterém poskytovatel obsahu tvrdí, že je taxonomicky přijatelný.",,"El nombre científico completo, con información sobre la autoría y la fecha si se conoce, del nombre aceptado (botánico) o válido (zoológico) en los casos en que el dwc:scientificName proporcionado se considera, por la referencia indicada en la propiedad dwc:nameAccordingTo, o del proveedor de contenido, un sinónimo o un nombre mal aplicado. Cuando se aplica a un dwc:Organism o dwc:Occurrence, este término debe usarse en los casos en que un proveedor de contenido considera que el dwc:scientificName proporcionado es inconsistente con la perspectiva taxonómica del proveedor de contenido. Por ejemplo, existen muchas discrepancias dentro de las colecciones de especímenes y los conjuntos de datos de observación entre el nombre registrado (p. ej., la identificación más reciente de un experto que examinó un espécimen, o una identificación de campo para un dwc:Organism observado) y el nombre que el proveedor de contenido afirma que es taxonómicamente aceptado.","Le nom scientifique complet, avec les informations sur l'auteur et la date si elles sont connues, du nom accepté (botanique) ou valide (zoologie) dans les cas où le dwc:scientificName fourni est considéré par la référence indiquée dans la propriété dwc:nameAccordingTo, ou par le fournisseur de données comme un synonyme ou un nom mal appliqué. Lorsqu'il est appliqué à un dwc:Organism ou à une dwc:Occurrence, ce terme doit être utilisé dans les cas où un fournisseur de données considère que le dwc:scientificName fourni n'est pas cohérent avec l'opinion taxonomique du fournisseur de données. Par exemple, il existe de nombreuses divergences dans les collections et les ensembles de données d'observation entre le nom indiqué (par exemple, l'identification la plus récente d'un expert qui a examiné un spécimen, ou une identification sur le terrain pour un dwc:Organism observé) et le nom avancé par le fournisseur de données comme étant valable sur le plan taxonomique.",,,,,,`Tamias minimus` (valid name for `Eutamias minimus`),`Tamias minimus` (platný název pro `Eutamias minimus`),,`Tamias minimus` (nombre válido para `Eutamias minimus`),`Tamias minimus` (nom valide pour `Eutamias minimus`),,,,,`Tamias minimus` （Eutamias minimus 的有效學名）
acceptedNameUsageID,Accepted Name Usage ID,ID užití přijatého názvu,,ID del Nombre Aceptado en Uso,Identifiant de l'usage du nom accepté,,,,,有效學名使用識別碼,An identifier for the name usage (documented meaning of the name according to a source) of the currently valid (zoological) or accepted (botanical) taxon.,Identifikátor pro použití názvu (doložený význam názvu podle zdroje) aktuálně platného (zoologického) nebo přijatého (botanického) taxonu.,,Un identificador para el nombre científico aceptado en uso (significado documentado del nombre según una fuente) del taxón actualmente válido (en zoología) o aceptado (en botánica).,Un identifiant pour l'usage du nom (signification documentée du nom selon une source) du taxon actuellement valide (zoologie) ou accepté (botanique).,,,,,目前動物學有效或植物學接受的學名使用（根據來源所記載的學名涵義）識別碼。,This term should be used for synonyms or misapplied names to refer to the dwc:taxonID of a dwc:Taxon record that represents the accepted (botanical) or valid (zoological) name. For Darwin Core Archives the related record should be present locally in the same archive.,"Tento termín by se měl používat pro synonyma nebo nesprávně použité názvy, aby odkazoval na dwc:taxonID záznamu dwc:Taxon, který představuje přijatý (botanický) nebo platný (zoologický) název. V případě Darwin Core Archives by měl být související záznam přítomen lokálně ve stejném archivu.",,"Este término debe usarse para sinónimos o nombres mal aplicados, para hacer referencia al dwc:taxonID de un registro dwc:Taxon que representa el nombre aceptado (en botánica) o válido (en zoología). En los Archivos Darwin Core, el registro relacionado debe estar presente localmente en el mismo archivo.","Ce terme devrait être utilisé pour les synonymes ou les noms mal appliqués pour se référer au dwc:taxonID d'un enregistrement dwc:Taxon qui représente le nom accepté (botanique) ou valide (zoologie). Pour les Archives Darwin Core, l'enregistrement correspondant doit être présent dans la même archive.",,,,,,`tsn:41107` (ITIS); `urn:lsid:ipni.org:names:320035-2` (IPNI); `2704179` (GBIF); `6W3C4` (COL),`tsn:41107` (ITIS); `urn:lsid:ipni.org:names:320035-2` (IPNI); `2704179` (GBIF); `6W3C4` (COL),,`tsn:41107` (ITIS); `urn:lsid:ipni.org:names:320035-2` (IPNI); `2704179` (GBIF); `6W3C4` (COL),`tsn:41107` (ITIS); `urn:lsid:ipni.org:names:320035-2` (IPNI); `2704179` (GBIF); `6W3C4` (COL),,,,,`tsn:41107` (ITIS); `urn:lsid:ipni.org:names:320035-2` (IPNI); `2704179` (GBIF); `6W3C4` (COL)
associatedMedia,Associated Media,Přidružená média,,Medios asociados,Média associé,,,,,相關多媒體資訊,"A list (concatenated and separated) of identifiers (publication, global unique identifier, URI) of media associated with the dwc:Occurrence.","Seznam (spojený a oddělený) identifikátorů (publikace, globální jedinečný identifikátor, URI) médií spojených s dwc:Occurrence.",,"Una lista (concatenada y delimitada) de identificadores (publicación, identificador global único, URI) de los contenidos multimedia asociados con el registro biológico.","Une liste (concaténée et séparée) d'identifiants (publication, identifiant unique global (GUI), URI) des médias associés à la dwc:Occurrence.",,,,,"與該筆紀錄相關的多媒體連結，若有多個連結以 ""|"" 分隔。",,,,,,,,,,,,,,,,,,,,
associatedOccurrences,Associated Occurrences,Související výskyty,,Registros asociados,Occurrences associées,,,,,相關物種出現紀錄,A list (concatenated and separated) of identifiers of other dwc:Occurrence records and their associations to this dwc:Occurrence.,Seznam (spojený a oddělený) identifikátorů jiných záznamů dwc:Occurrence a jejich asociací k tomuto dwc:Occurrence.,,Una lista (concatenada y delimitada) de identificadores para otros registros dwc:Occurrence y sus asociaciones con este dwc:Occurrence.,Une liste (concaténée et séparée) d'identifiants d'autres enregistrements de dwc:Occurrence et de leurs associations à cette dwc:Occurrence.,,,,,"與該筆紀錄相關的其他出現紀錄，若有多個連結以 ""|"" 分隔。","This term can be used to provide a list of associations to other dwc:Occurrences. Note that the dwc:ResourceRelationship class is an alternative means of representing associations, and with more detail. Recommended best practice is to separate the values in a list with space vertical bar space (` | `).","Tento termín lze použít k poskytnutí seznamu asociací k jiným dwc:Occurrences. Všimněte si, že třída dwc:ResourceRelationship je alternativním prostředkem pro reprezentaci asociací, a to s většími podrobnostmi. Doporučeným osvědčeným postupem je oddělovat hodnoty v seznamu mezerou svislou čarou mezerou (` | `).",,"Este término puede utilizarse para proporcionar una lista de asociaciones con otros dwc:Occurrences. Cabe señalar que la clase dwc:ResourceRelationship es una alternativa para representar asociaciones, y permite incluir más detalle. La práctica recomendada es separar los valores en la lista con espacio barra vertical espacio (` | `).","Ce terme peut être utilisé pour fournir une liste d'associations avec d'autres dwc:Occurrences. Notez que la classe dwc:ResourceRelationship est un autre moyen de représenter les associations, avec plus de détails. La pratique optimale recommandée est de séparer les valeurs d'une liste par une barre verticale (` | `).",,,,,,,,,,,,,,,
associatedOrganisms,Associated Organisms,Související organismy,,Organismos Asociados,Organismes associés,,,,,相關生物體,A list (concatenated and separated) of identifiers of other dwc:Organisms and the associations of this dwc:Organism to each of them.,Seznam (spojený a oddělený) identifikátorů jiných dwc:Organisms a asociací tohoto dwc:Organism ke každému z nich.,,Una lista (concatenada y separada) de los identificadores de otros dwc:Organisms y las asociaciones de cada uno de ellos con el dwc:Organism.,Une liste (concaténée et séparée) d'identifiants d'autres dwc:Organisms et les associations de cet dwc:Organism à chacun d'entre eux.,,,,,,"This term can be used to provide a list of associations to other dwc:Organisms. Note that the dwc:ResourceRelationship class is an alternative means of representing associations, and with more detail. Recommended best practice is to separate the values in a list with space vertical bar space (` | `).","Tento termín lze použít k poskytnutí seznamu asociací k jiným dwc:Organisms. Všimněte si, že třída dwc:ResourceRelationship je alternativním prostředkem pro reprezentaci asociací, a to s většími podrobnostmi. Doporučeným osvědčeným postupem je oddělovat hodnoty v seznamu mezerou svislou čarou mezerou (` | `).",,Este término puede utilizarse para proporcionar una lista de asociaciones con otros dwc:Organisms. Cabe señalar que la clase de dwc:ResourceRelationship es una alternativa para representar asociaciones y permite incluir más detalle. La práctica recomendada es separar los valores en la lista con espacio barra vertical espacio (` | `).,"Ce terme peut être utilisé pour fournir une liste d'associations avec d'autres dwc:Organisms. Notez que la classe dwc:ResourceRelationship est un autre moyen de représenter les associations, avec plus de détails. La pratique optimale recommandée est de séparer les valeurs d'une liste par une barre verticale (` | `).",,,,,,,,,,,,,,,
associatedReferences,Associated References,Související reference,,Referencias asociadas,Références associées,,,,,相關參考資料,"A list (concatenated and separated) of identifiers (publication, bibliographic reference, global unique identifier, URI) of literature associated with the dwc:Occurrence.","Seznam (spojený a oddělený) identifikátorů (publikace, bibliografický odkaz, globální jedinečný identifikátor, URI) literatury spojené s dwc:Occurrence.",,,"Une liste (concaténée et séparée) d'identifiants (publication, référence bibliographique, identifiant unique global (GUI), URI) de la littérature associée à la dwc:Occurrence.",,,,,,"Recommended best practice is to separate the values in a list with space vertical bar space (` | `). Note that the dwc:ResourceRelationship class is an alternative means of representing associations, and with more detail. Note also that the intended usage of the term dcterms:references in Darwin Core when applied to a dwc:Occurrence is to point to the definitive source representation of that dwc:Occurrence if one is available. Note also that the intended usage of dcterms:bibliographicCitation in Darwin Core when applied to a dwc:Occurrence is to provide the preferred way to cite the dwc:Occurrence itself.","Doporučeným postupem je oddělovat hodnoty v seznamu mezerou svislou čarou mezerou (` | `). Všimněte si, že třída dwc:ResourceRelationship je alternativním prostředkem pro reprezentaci asociací, a to s většími detaily. Všimněte si také, že zamýšleným použitím termínu dcterms:references v jádře Darwin při použití na dwc:Occurrence je poukázat na definitivní zdrojovou reprezentaci této dwc:Occurrence, pokud je k dispozici. Všimněte si také, že zamýšleným použitím termínu dcterms:bibliographicCitation v Darwin Core, je-li použit na dwc:Occurrence, je poskytnout preferovaný způsob citování samotného dwc:Occurrence.",,,"La pratique optimale recommandée est de séparer les valeurs d'une liste par une barre verticale (` | `). Notez que la classe dwc:ResourceRelationship est un autre moyen de représenter les associations, avec plus de détails. Notez également que l'usage prévu du terme dcterms:references dans le Darwin Core, lorsqu'il est appliqué à une dwc:Occurrence, est de pointer vers la source originale de cette dwc:Occurrence s'il y en a une. Notez également que l'usage prévu du terme dcterms:bibliographicCitation dans le Darwin Core lorsqu'il est appliqué à une dwc:Occurrence est de fournir la manière optimale de citer la dwc:Occurrence elle-même.",,,,,,,,,,,,,,,
associatedSequences,Associated Sequences,Související sekvence,,Secuencias asociadas,Séquences associées,,,,,相關基因序列,"A list (concatenated and separated) of identifiers (publication, global unique identifier, URI) of genetic sequence information associated with the dwc:MaterialEntity.","Seznam (spojený a oddělený) identifikátorů (publikace, globální jedinečný identifikátor, URI) informací o genetické sekvenci přidružených k dwc:MaterialEntity.",,,"Une liste (concaténée et séparée) d'identifiants (publication, identifiant unique global (GUI), URI) d'informations sur la séquence génétique associée à la dwc:MaterialEntity.",,,,,,,,,,,,,,,,,,,,,,,,,
associatedTaxa,Associated Taxa,Související taxony,,Taxones asociados,Taxons associés,,,,,相關物種,A list (concatenated and separated) of identifiers or names of dwc:Taxon records and the associations of this dwc:Occurrence to each of them.,Seznam (spojený a oddělený) identifikátorů nebo názvů záznamů dwc:Taxon a přiřazení tohoto dwc:Occurrence ke každému z nich.,,,Une liste (concaténée et séparée) d'identifiants ou des noms des enregistrements de dwc:Taxon et les associations de cette dwc:Occurrence à chacun d'entre eux.,,,,,,"This term can be used to provide a list of associations to dwc:Taxon records other than the one defined in the dwc:Occurrence. Note that the dwc:ResourceRelationship class is an alternative means of representing associations, and with more detail. This term is not apt for establishing relationships between dwc:Taxon records, only between specific dwc:Occurrences of a dwc:Organism with other dwc:Taxon records. Recommended best practice is to separate the values in a list with space vertical bar space (` | `).","Tento termín lze použít k poskytnutí seznamu přidružení k jiným záznamům dwc:Taxon, než je definováno v dwc:Occurrence. Všimněte si, že třída dwc:ResourceRelationship je alternativním prostředkem pro reprezentaci přidružení, a to s většími podrobnostmi. Tento termín není vhodný pro vytváření vztahů mezi dwc:Taxon záznamy, pouze mezi konkrétními dwc:Occurrences dwc:Organism s jinými dwc:Taxon záznamy. Doporučeným osvědčeným postupem je oddělovat hodnoty v seznamu mezerou svislou čarou mezerou (` | `).",,,"Ce terme peut être utilisé pour fournir une liste d'associations à des enregistrements de dwc:Taxon autres que celles définies dans dwc:Occurrence. Notez que la classe dwc:ResourceRelationship est un autre moyen de représenter les associations, avec plus de détails. Ce terme ne convient pas pour établir des relations entre des enregistrements de dwc:Taxon, mais seulement entre des dwc:Occurrences spécifiques d'un dwc:Organisme et d'autres enregistrements de dwc:Taxon. La pratique optimale recommandée est de séparer les valeurs d'une liste par une barre verticale (` | `).",,,,,,,,,,,,,,,
basisOfRecord,Basis Of Record,Základ záznamu,,,Catégorie d'enregistrement,,,,,紀錄類型,The specific nature of the data record.,Specifická povaha datového záznamu.,,,La nature précise de l'enregistrement.,,,,,資料紀錄的特定性質、類型。,Recommended best practice is to use a controlled vocabulary such as the set of local names of the identifiers for classes in Darwin Core.,"Doporučeným osvědčeným postupem je používat řízený slovník, například sadu místních názvů identifikátorů tříd v Darwin Core.",,,La pratique optimale recommandée est d'utiliser un vocabulaire contrôlé tel que l'ensemble des noms locaux des identifiants de classes du Darwin Core.,,,,,建議使用 Darwin Core 的控制詞彙。,,,,,,,,,,
bed,Bed,Podloží,,Capa,Lit,,,,,,The full name of the lithostratigraphic bed from which the dwc:MaterialEntity was collected.,"Úplný název litostratigrafického podloží, z něhož byl dwc:MaterialEntity odebrán.",,,Le nom complet du lit lithostratigraphique à partir de laquelle l'entité dwc:MaterialEntity a été collectée.,,,,,,,,,,,,,,,,,,,,,,,,,
