term_localName,label_en,label_cs,label_de,label_es,label_fr,label_ko,label_nl,label_pt,label_ru,label_zh-Hans,label_zh-Hant,definition_en,definition_cs,definition_de,definition_es,definition_fr,definition_ko,definition_nl,definition_pt,definition_ru,definition_zh-Hans,definition_zh-Hant,usage_en,usage_cs,usage_de,usage_es,usage_fr,usage_ko,usage_nl,usage_pt,usage_ru,usage_zh-Hans,usage_zh-Hant,notes_en,notes_cs,notes_de,notes_es,notes_fr,notes_ko,notes_nl,notes_pt,notes_ru,notes_zh-Hans,notes_zh-Hant,examples_en,examples_cs,examples_de,examples_es,examples_fr,examples_ko,examples_nl,examples_pt,examples_ru,examples_zh-Hans,examples_zh-Hant
p,subject part concept scheme,,Schemenkonzept für die Orientierung des Objektes,esquema de concepto de parte de sujeto,,,,esquema de conceito de partes de assunto,,,,a SKOS concept scheme for ac:subjectOrientation,,ein SKOS Schemenkonzept für die Orientierung,un esquema conceptual de SKOS para ac:subjectOrientation,,,,um esquema conceitual de SKOS para ac:subjectOrientation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p0000,unspecified part,,nicht spezifizier Teil,parte no especificada,,,,parte não especificada,,,,Part is not known because it is not specified,,"Teil ist nicht bekannt, da es nicht spezifiziert ist",No se conoce la parte porque no se especifica,,,,a parte não é conhecida porque não foi especificada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p0001,entire organism,,vollständiger Organismus,organismo entero,,,,organismo inteiro,,,,An entire multicellular organism,,Ein volständiger mehrzelliger Organismus,Un organismo multicelular entero,,,,um organismo multicelular inteiro,,,,,,,,,,,,,,,,,,,,,,,,,,http://bioimages.vanderbilt.edu/baskauf/25638,http://bioimages.vanderbilt.edu/baskauf/25638,,,,,,,,,
p0002,bark,,Rinde,corteza,,,,casca,,,,Plant tissue outside the vascular cambium,,Pflanzengewebe außerhalb des Zentralzylinders,Tejido vegetal fuera del cambium vascular,,,,Tecido vegetal fora do câmbio vascular,,,,,,,,,,,,,,,,,,,,,,,,,,http://bioimages.vanderbilt.edu/baskauf/41910,http://bioimages.vanderbilt.edu/baskauf/41910,,,,,,,,,
p0003,twig,,Zweig,rama,,,,galho,,,,Plant shoot axis developed from axillary buds,,"Pflanzentriebachse, die sich aus Achselknospen entwickelt",Eje del brote de la planta desarrollado a partir de yemas axilares.,,,,Eixo do caule da planta desenvolvido a partir de gemas axilares,,,,,,,,,,,,,,,,,,,,,,,,,,http://bioimages.vanderbilt.edu/baskauf/63779,http://bioimages.vanderbilt.edu/baskauf/63779,,,,,,,,,
p0004,stem,,Stamm,tronco,,,,tronco,,,,Plant shoot axis that defines the primary axis,,"Pflanzentriebachse, die die Hauptachse der Pflanze definiert",Eje del brote de la planta que define el eje principal,,,,Eixo do caule da planta que define o eixo principal,,,,,,,,,,,,,,,,,,,,,,,,,,http://bioimages.vanderbilt.edu/baskauf/65236,http://bioimages.vanderbilt.edu/baskauf/65236,,,,,,,,,
p0005,leaf,,Blatt,hoja,,,,folha,,,,Plant non-reproductive phyllome,,Nicht reproduktives Phyllom von Pflanzen,Filoma no reproductivo de plantas,,,,Filoma não reprodutivo da planta,,,,,,,,,,,,,,,,,,,,,,,,,,http://bioimages.vanderbilt.edu/baskauf/41905,http://bioimages.vanderbilt.edu/baskauf/41905,,,,,,,,,
p0006,strobilis (cone),,Strobilus ( Zapfen),estróbilo (cono),,,,estróbilo (cone),,,,Plant reproductive system consisting of sporophylls,,Reproduktionssystem der Pflanzen bestehend aus Sporophyllen,Sistema reproductivo vegetal que consta de esporófilos,,,,Sistema reprodutivo vegetal constituído por esporófilos,,,,,,,,,,,,,,,,,,,,,,,,,,http://bioimages.vanderbilt.edu/baskauf/60561,http://bioimages.vanderbilt.edu/baskauf/60561,,,,,,,,,
p0007,inflorescence,,Infloreszenz (Blütenstand),inflorescencia,,,,inflorescência,,,,Plant reproductive shoot system containing flowers,,"Reproduktives Verzerigungssystem einer Pflanze, die zur Blütenbildung dienen",Sistema de brotes reproductivos de plantas que contienen flores,,,,Sistema reprodutivo de plantas contendo flores,,,,,,,,,,,,,,,,,,,,,,,,,,http://bioimages.vanderbilt.edu/baskauf/57919,http://bioimages.vanderbilt.edu/baskauf/57919,,,,,,,,,
p0008,fruit,,Frucht,fruto,,,,fruta,,,,Plant structure developing from a flower,,"Pflanzenstruktur, die sich von einer Blüte entwickelt",Estructura vegetal que se desarrolla a partir de una flor,,,,Estrutura da planta se desenvolvendo a partir de uma flor,,,,,,,,,,,,,,,,,,,,,,,,,,http://bioimages.vanderbilt.edu/baskauf/41891,http://bioimages.vanderbilt.edu/baskauf/41891,,,,,,,,,
p0009,seed,,Samen,semilla,,,,semente,,,,Plant structure containing dormant embryo,,"Pflanzenstruktur, die einen ruhenden Embryo enthält",Estructura vegetal que contiene un embrión latente,,,,Estrutura da planta contendo embrião dormente,,,,,,,,,,,,,,,,,,,,,,,,,,http://bioimages.vanderbilt.edu/baskauf/30744,http://bioimages.vanderbilt.edu/baskauf/30744,,,,,,,,,
p0010,male cone,,männlicher Zapfen,cono masculino,,,,cone masculino,,,,Plant strobilis bearing pollen,,Pollen-tragender Strobilus einer Pflanze,Estróbilo de la planta que contiene polen,,,,Estróbilos de plantas contendo pólen,,,,,,,,,,,,,,,,,,,,,,,,,,http://bioimages.vanderbilt.edu/baskauf/51365,http://bioimages.vanderbilt.edu/baskauf/51365,,,,,,,,,
p0011,female cone,,weiblicher Zapfen,cono femenino,,,,cone feminino,,,,Plant strobilis bearing ovules,,Ovulae-tragender Strobilus einer Pflanze,Estróbilo de la planta que contiene óvulos,,,,Estróbilos de plantas contendo óvulos,,,,,,,,,,,,,,,,,,,,,,,,,,http://bioimages.vanderbilt.edu/baskauf/51363,http://bioimages.vanderbilt.edu/baskauf/51363,,,,,,,,,
p0012,flower,,Blüte,flor,,,,flor,,,,Plant reproductive shoot system containing a carpel,,"Reproduktives Sprosssystem der Pflanzen, das ein Karpell enthällt",Sistema de brotes reproductivos de plantas que contienen un carpelo,,,,Sistema reprodutivo de plantas contendo um carpelo,,,,,,,,,,,,,,,,,,,,,,,,,,http://bioimages.vanderbilt.edu/baskauf/52498,http://bioimages.vanderbilt.edu/baskauf/52498,,,,,,,,,
p0013,head,,Kopf,cabeza,,,,cabeça,,,,Anterior-most division of the body,,Vorderster Abschnitt des Körpers,División más anterior del cuerpo,,,,Divisão mais anterior do corpo,,,,,,,,,,,,,,,,,,,,,,,,,,https://monarch.calacademy.org/mnt/target-images/CASTYPE/00001/CASTYPE1503_h.jpg,,,,,,,,,,
p0014,thorax,,Thorax (Brust),tórax,,,,tórax,,,,The middle division of the insect body bearing locomotor appendages,,"Mittlerer Körperabschnitt eines Insekts, welcher die Gliedmaße zur Bewegung trägt",División media del cuerpo de un insecto que lleva apéndices locomotores,,,,A divisão do meio do corpo do inseto com apêndices locomotores,,,,,,,,,,,,,,,,,,,,,,,,,,https://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00610536_Lasioglossum_oblongum_thl.jpg,https://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00610536_Lasioglossum_oblongum_thl.jpg,,,,,,,,,
p0015,abdomen,,Abdomen (Hinterleib),,,,,,,,,The posterior-most division of the insect body,,Hinterster Körperabschitt eines Insekts,División más posterior del cuerpo de un insecto,,,,A divisão mais posterior do corpo do inseto,,,,,,,,,,,,,,,,,,,,,,,,,,"https://commons.wikimedia.org/wiki/File:Halictus_scabiosae,_specimen_exonie54,_from_Botevgrad,_Bulgaria_10_(dorsal,_abdomen).jpg","https://commons.wikimedia.org/wiki/File:Halictus_scabiosae,_specimen_exonie54,_from_Botevgrad,_Bulgaria_10_(dorsal,_abdomen).jpg",,,,,,,,,
p0016,leg,,Bein,pata,,,,perna,,,,Walking appendage,,Gliedmaß zum Laufen,Apéndice caminador,,,,Apêndice locomotor,,,,,,,,,,,,,,,,,,,,,,,,,,https://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00000547_Halictus_albitarsis_hlg.jpg,https://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00000547_Halictus_albitarsis_hlg.jpg,,,,,,,,,
p0017,wing,,Flügel,ala,,,,asa,,,,Appendage that is shaped in order to produce lift for flight through the air,,für den Flug angepasster Fortsatz,Apéndice que tiene forma para producir y sustentar vuelo en el aire,,,,Apêndice que é moldado para produzir sustentação para o vôo pelo ar,,,,,,,,,,,,,,,,,,,,,,,,,,https://commons.wikimedia.org/wiki/File:Monarch_Butterfly_Danaus_plexippus_Wing_2400px.jpg,https://commons.wikimedia.org/wiki/File:Monarch_Butterfly_Danaus_plexippus_Wing_2400px.jpg,,,,,,,,,
p0018,antenna,,Antenne,antena,,,,antena,,,,"The paired, usually multiple jointed, sensory organs on the head",,"Paarige Sinnesorgane am Kof, meistens mit mehreren Segmenten","Los órganos sensoriales pareados de la cabeza, generalmente con múltiples artejos",,,,"Os órgãos sensoriais pareados da cabeça, geralmente com múltiplas articulações",,,,,,,,,,,,,,,,,,,,,,,,,,"https://commons.wikimedia.org/wiki/File:Blatta_orientalis_male_from_Botevgrad,_Bulgaria_05.jpg","https://commons.wikimedia.org/wiki/File:Blatta_orientalis_male_from_Botevgrad,_Bulgaria_05.jpg",,,,,,,,,
