document_modified,version,versionLocalName,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,label,skos_broader,skos_inScheme,controlled_value_string,definition,usage,notes,examples,definition_derived_from,type,term_localName
2025-12-24T09:57:04-05:00,http://rs.tdwg.org/ac3dtype/values/version/t-2025-12-24,t-2025-12-24,http://rs.tdwg.org/ac3dtype/values/version/,2025-12-24,recommended,,,,3D resource type controlled vocabulary,,,,A SKOS ConceptScheme to be used as a controlled vocabulary for the Audiovisual Core terms dc:type and dcterms:type,,,,,http://www.w3.org/2004/02/skos/core#ConceptScheme,t
2025-12-24T09:57:04-05:00,http://rs.tdwg.org/ac3dtype/values/version/t0001-2025-12-24,t0001-2025-12-24,http://rs.tdwg.org/ac3dtype/values/version/,2025-12-24,recommended,,,,raster data,,t,rasterData,Gridded data composed of pixels that store values.,,,,,http://www.w3.org/2004/02/skos/core#Concept,t0001
2025-12-24T09:57:04-05:00,http://rs.tdwg.org/ac3dtype/values/version/t0002-2025-12-24,t0002-2025-12-24,http://rs.tdwg.org/ac3dtype/values/version/,2025-12-24,recommended,,,,raw data,t0001,t,rawData,The initial uncompressed and unprocessed data generated through a 3D modality.,,,,,http://www.w3.org/2004/02/skos/core#Concept,t0002
2025-12-24T09:57:04-05:00,http://rs.tdwg.org/ac3dtype/values/version/t0003-2025-12-24,t0003-2025-12-24,http://rs.tdwg.org/ac3dtype/values/version/,2025-12-24,recommended,,,,sinogram,t0002,t,sinogram,"Raw data from a CT scanner with X-Ray Detector Configuration Type of Slot (scanned slot, slit, or spot). Projections are often analyzed and processed to create a reconstructed image stack.",,,,http://www.morphosource.org/terms/mscv/Sinograms,http://www.w3.org/2004/02/skos/core#Concept,t0003
2025-12-24T09:57:04-05:00,http://rs.tdwg.org/ac3dtype/values/version/t0004-2025-12-24,t0004-2025-12-24,http://rs.tdwg.org/ac3dtype/values/version/,2025-12-24,recommended,,,,multi-file projection series,t0002,t,multiFileProjectionSeries,Raw image data from a CT scanner with a X-Ray Detector Configuration Type of Area (single or tiled detector). Projections are often analyzed and processed to create a reconstructed image stack.,,,,http://www.morphosource.org/terms/mscv/Projections ,http://www.w3.org/2004/02/skos/core#Concept,t0004
2025-12-24T09:57:04-05:00,http://rs.tdwg.org/ac3dtype/values/version/t0005-2025-12-24,t0005-2025-12-24,http://rs.tdwg.org/ac3dtype/values/version/,2025-12-24,recommended,,,,multi-file photo collection,t0002,t,multiFilePhotoCollection,Multiple overlapping photographs of an object.,,,,,http://www.w3.org/2004/02/skos/core#Concept,t0005
2025-12-24T09:57:04-05:00,http://rs.tdwg.org/ac3dtype/values/version/t0006-2025-12-24,t0006-2025-12-24,http://rs.tdwg.org/ac3dtype/values/version/,2025-12-24,recommended,,,,volume,t0001,t,volume,Three-dimensional digital representation of an object. Rendered as a grid of three-dimensional pixels (aka voxels),,,,,http://www.w3.org/2004/02/skos/core#Concept,t0006
2025-12-24T09:57:04-05:00,http://rs.tdwg.org/ac3dtype/values/version/t0007-2025-12-24,t0007-2025-12-24,http://rs.tdwg.org/ac3dtype/values/version/,2025-12-24,recommended,,,,multi-file image slice series,t0006,t,multiFileImageSliceSeries,Derived image data where each image represents a virtual slice of 3D volume. Images are stacked and arranged in series with specific spacing between slices in order to create the third dimension in a 3D volume.,,,,http://www.morphosource.org/terms/mscv/ReconstructedImageStack,http://www.w3.org/2004/02/skos/core#Concept,t0007
2025-12-24T09:57:04-05:00,http://rs.tdwg.org/ac3dtype/values/version/t0008-2025-12-24,t0008-2025-12-24,http://rs.tdwg.org/ac3dtype/values/version/,2025-12-24,recommended,,,,single-file volume image,t0006,t,singleFileVolumeImage,"A single derived file where image data for all ""virtual slices"" of a 3D volume are included, allowing a three-dimensionally rendered representation of a 3D object. (formats like NRRD and 3Dtiff are examples)",,,,,http://www.w3.org/2004/02/skos/core#Concept,t0008
2025-12-24T09:57:04-05:00,http://rs.tdwg.org/ac3dtype/values/version/t0009-2025-12-24,t0009-2025-12-24,http://rs.tdwg.org/ac3dtype/values/version/,2025-12-24,recommended,,,,vector,,t,vector,"Image data defined by geometric points, lines, curves, and polygons.",,,,,http://www.w3.org/2004/02/skos/core#Concept,t0009
2025-12-24T09:57:04-05:00,http://rs.tdwg.org/ac3dtype/values/version/t0010-2025-12-24,t0010-2025-12-24,http://rs.tdwg.org/ac3dtype/values/version/,2025-12-24,recommended,,,,point cloud with dependencies,t0009,t,pointCloudWithDependencies,A set of points in a 3D coordinate system with optional associated texture or color file,,,,,http://www.w3.org/2004/02/skos/core#Concept,t0010
2025-12-24T09:57:04-05:00,http://rs.tdwg.org/ac3dtype/values/version/t0011-2025-12-24,t0011-2025-12-24,http://rs.tdwg.org/ac3dtype/values/version/,2025-12-24,recommended,,,,polygonal mesh with dependencies,t0009,t,polygonalMeshWithDependencies,A wireframe or digital surface model consisting of polygons with optional associated texture or color file,,,,,http://www.w3.org/2004/02/skos/core#Concept,t0011
