term_localName,label,rdfs_comment,dcterms_description,examples,rdf_type,tdwgutility_abcdEquivalence,tdwgutility_organizedInClass,tdwgutility_decision,tdwgutility_usageScope
chronometricAgeID,Chronometric Age ID,An identifier for the set of information associated with a chrono:ChronometricAge.,May be a global unique identifier or an identifier specific to the dataset. This can be used to link this record to another repository where more information about the dataset is shared.,`https://www.canadianarchaeology.ca/samples/70673`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/chrono/terms/ChronometricAge,,
chronometricAgeProtocol,Chronometric Age Protocol,A description of or reference to the methods used to determine the chrono:ChronometricAge.,,`radiocarbon AMS`; `K-Ar dates for the lower most marker tuff`; `historic documentation`; `ceramic seriation`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,https://terms.tdwg.org/wiki/abcd-efg:StratigraphicAttributions-ChronostratigraphicAttribution-Method,http://rs.tdwg.org/chrono/terms/ChronometricAge,,
chronometricAgeConversionProtocol,Chronometric Age Conversion Protocol,"The method used for converting the chrono:uncalibratedChronometricAge into a chronometric age in years, as captured in the chrono:earliestChronometricAge, chrono:earliestChronometricAgeReferenceSystem, chrono:latestChronometricAge, and chrono:latestChronometricAgeReferenceSystem fields.","For example, calibration of conventional radiocarbon age or the currently accepted age range of a cultural or geological period.",`INTCAL13`; `sequential 6 phase Bayesian model and IntCal13 calibration`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,https://terms.tdwg.org/wiki/abcd-efg:StratigraphicAttributions-ChronostratigraphicAttribution-Method,http://rs.tdwg.org/chrono/terms/ChronometricAge,,
earliestChronometricAge,Earliest Chronometric Age,The maximum/earliest/oldest possible age of a specimen as determined by a dating method.,"The expected unit for this field is years. This field, if populated, must have an associated chrono:earliestChronometricAgeReferenceSystem.",`100`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,https://terms.tdwg.org/wiki/abcd-efg:StratigraphicAttributions-ChronostratigraphicAttribution-UpperValue,http://rs.tdwg.org/chrono/terms/ChronometricAge,,
earliestChronometricAgeReferenceSystem,Earliest Chronometric Age Reference System,The reference system associated with the chrono:earliestChronometricAge.,Recommended best practice is to use a controlled vocabulary.,`kya`; `mya`; `BP`; `AD`; `BCE`; `ka`; `Ma`; `Ga`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/chrono/terms/ChronometricAge,,
latestChronometricAge,Latest Chronometric Age,The minimum/latest/youngest possible age of a specimen as determined by a dating method.,"The expected unit for this field is years. This field, if populated, must have an associated chrono:latestChronometricAgeReferenceSystem.",`27`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,https://terms.tdwg.org/wiki/abcd-efg:UnitStratigraphicDetermination-ChronostratigraphicAttribution-LowerValue,http://rs.tdwg.org/chrono/terms/ChronometricAge,,
latestChronometricAgeReferenceSystem,Latest Chronometric Age Reference System,The reference system associated with the chrono:latestChronometricAge.,Recommended best practice is to use a controlled vocabulary.,`kya`; `mya`; `BP`; `AD`; `BCE`; `ka`; `Ma`; `Ga`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/chrono/terms/ChronometricAge,,
chronometricAgeUncertaintyInYears,Chronometric Age Uncertainty In Years,The temporal uncertainty of the chrono:earliestChronometricAge and chrono:latestChronometicAge in years.,The expected unit for this field is years. The value in this field is number of years before and after the values given in the chrono:earliestChronometricAge and chrono:latestChronometricAge fields within which the actual values are estimated to be.,`100`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,https://terms.tdwg.org/wiki/abcd-efg:UnitStratigraphicDetermination-ChronostratigraphicAttribution-Accuracy,http://rs.tdwg.org/chrono/terms/ChronometricAge,,
chronometricAgeUncertaintyMethod,Chronometric Age Uncertainty Method,The method used to generate the value of chrono:chronometricAgeUncertaintyInYears.,,`2-sigma calibrated range`; `Half of 95% confidence interval`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,https://terms.tdwg.org/wiki/abcd-efg:StratigraphicAttributions-ChronostratigraphicAttribution-Method,http://rs.tdwg.org/chrono/terms/ChronometricAge,,
materialDated,Material Dated,"A description of the material on which the chrono:chronometricAgeProtocol was actually performed, if known.",,`Double Tuff`; `Charcoal found in Stratum V`; `charred wood`; `tooth`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,https://terms.tdwg.org/wiki/abcd-efg:UnitStratigraphicDetermination-MaterialDated,http://rs.tdwg.org/chrono/terms/ChronometricAge,,
materialDatedID,Material Dated ID,"An identifier for the dwc:MaterialEntity on which the chrono:chronometricAgeProtocol was performed, if applicable.",,`dwc:materialEntityID: https://www.ebi.ac.uk/metagenomics/samples/SRS1930158`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/chrono/terms/ChronometricAge,,
materialDatedRelationship,Material Dated Relationship,"The relationship of the chrono:materialDated to the subject of the chrono:ChronometricAge record, from which the chrono:ChronometricAge of the subject is inferred.",Recommended best practice is to use a controlled vocabulary.,"`sameAs` (cases where the subject material was completely destructively subsampled to get the ChronometricAge); `subsampleOf` (cases where part of the original specimen was extracted as the material used to determine the ChronometricAge); `inContextWith` (cases where the ChronometricAge is inferred from materialDated, such as sediments or cultural objects, in related temporal context); `stratigraphicallyCorrelatedWith` (cases where the ChronometricAge is inferred from materialDated in a stratigraphically correlated context)",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/chrono/terms/ChronometricAge,,
