term_localName,label,skos_broader,definition,usage,notes,controlled_value_string,skos_inScheme,type
p,pathway concept scheme,,A SKOS Concept Scheme to be used as a controlled vocabulary for the Darwin Core terms dwc:pathway and dwciri:pathway,,,,,http://www.w3.org/2004/02/skos/core#ConceptScheme
p001,biological control,p045,Organisms occuring in an area because they were introduced for the purpose of biological control of another organism.,,Released intentionally into the (semi)natural environment with the purpose of controlling the population(s) of one or more organisms. See also Harrower et al. 2017 http://nora.nerc.ac.uk/id/eprint/519129,biologicalControl,p,http://www.w3.org/2004/02/skos/core#Concept
p002,erosion control,p045,"Organisms introduced for the purpose of erosion control/dune stabilization (windbreaks, hedges, etc).",,Probably only applicable only to plants. See also Harrower et al. 2017 http://nora.nerc.ac.uk/id/eprint/519129,erosionControl,p,http://www.w3.org/2004/02/skos/core#Concept
p003,fishery in the wild,p045,Fish stocked into the wild either to create a fishery or for recreational angling.,,Largely applicable to freshwater and anadromous fish. See also Harrower et al. 2017 http://nora.nerc.ac.uk/id/eprint/519129,fisheryInTheWild,p,http://www.w3.org/2004/02/skos/core#Concept
p004,hunting,p045,Animals stocked into the wild specifically with the intention that they would be hunted for sport.,,Largely applicable to terrestrial vertebrates. See also Harrower et al. 2017 http://nora.nerc.ac.uk/id/eprint/519129,hunting,p,http://www.w3.org/2004/02/skos/core#Concept
p005,landscape improvement,p045,"Landscape/flora/fauna ""improvement"" in the wild.",,"""Improvement"" in this context is intended for introductions for the purpose of aesthetic enhancement of the landscape, as opposed to practical introductions for the purpose of erosion control, agriculture, forestry etc. See also Harrower et al. 2017 http://nora.nerc.ac.uk/id/eprint/519129",landscapeImprovement,p,http://www.w3.org/2004/02/skos/core#Concept
p006,conservation or wildlife management,p045,Organisms introduced for conservation purposes or wildlife management.,,The organism was released with the intention of improving its conservation status of the species or the conservation status other species in the habitat. See also Harrower et al. 2017 http://nora.nerc.ac.uk/id/eprint/519129,conservationOrWildlifeManagement,p,http://www.w3.org/2004/02/skos/core#Concept
p007,released for use,p045,"Release in nature for use (other than above, e.g., fur, transport, medical use).",,This term refers to organisms intentionally and directly released into the wild to serve a specific purpose. See also Harrower et al. 2017 http://nora.nerc.ac.uk/id/eprint/519129,releasedForUse,p,http://www.w3.org/2004/02/skos/core#Concept
p008,other intentional release,p045,A catch-all for intentional releases not for human use that are not covered by other more specific terms.,,"Compare with ""other escape from confinement"". See also Harrower et al. 2017 http://nora.nerc.ac.uk/id/eprint/519129",otherIntentionalRelease,p,http://www.w3.org/2004/02/skos/core#Concept
p009,agriculture (including biofuel feedstocks),p046,Plants grown with then intention of harvesting.,,See also Harrower et al. 2017 http://nora.nerc.ac.uk/id/eprint/519129,agriculture,p,http://www.w3.org/2004/02/skos/core#Concept
p010,aquaculture/mariculture,p046,"The analog of agriculture and farmed animals, specifically related to aquatic organisms.",,See also Harrower et al. 2017 http://nora.nerc.ac.uk/id/eprint/519129,aquacultureMariculture,p,http://www.w3.org/2004/02/skos/core#Concept
p011,botanic garden/zoo/aquaria (excluding domestic aquaria),p046,Organisms in public collections of plants and/or animals.,,See also Harrower et al. 2017 http://nora.nerc.ac.uk/id/eprint/519129,publisGardenZooAquaria,p,http://www.w3.org/2004/02/skos/core#Concept
p012,pet/aquarium/terrarium species (including live food for such species ),p046,Privately kept animals.,"Animals kept for hunting, such as falcons and ferrets SHOULD be included here, not under the hunting term",See also Harrower et al. 2017 http://nora.nerc.ac.uk/id/eprint/519129,pet,p,http://www.w3.org/2004/02/skos/core#Concept
p013,farmed animals (including animals left under limited control),p046,"Animals cared for and bred with the specific intention of using their products, such as meat and milk.",,"Farmed animals are generally kept in a defined area, such as a fields. See also Harrower et al. 2017 http://nora.nerc.ac.uk/id/eprint/519129",farmedAnimals,p,http://www.w3.org/2004/02/skos/core#Concept
p014,forestry (including reforestation),p046,Trees specifically introduced to provide timber and other forestry products.,,See also Harrower et al. 2017 http://nora.nerc.ac.uk/id/eprint/519129,forestry,p,http://www.w3.org/2004/02/skos/core#Concept
p015,fur farms,p046,"Organisms escaped from a fur farms, including unauthorised releases.",,Probably only applicable to vertebrates raised for their pelts and skins. See also Harrower et al. 2017 http://nora.nerc.ac.uk/id/eprint/519129,fur,p,http://www.w3.org/2004/02/skos/core#Concept
p016,horticulture,p046,Plants distributed by the ornamental and decorative plants industry. ,This term excludes plants and other organisms from aquaria and terrariums from the aquarium and terrarium trade which SHOULD be classified under the pet/aquarium/terrarium term.,See also Harrower et al. 2017 http://nora.nerc.ac.uk/id/eprint/519129,horticulture,p,http://www.w3.org/2004/02/skos/core#Concept
p017,ornamental purpose other than horticulture,p046,Ornamental plants introduced through pathways other than the horticultural industry.,,See also Harrower et al. 2017 http://nora.nerc.ac.uk/id/eprint/519129,ornamentalNonHorticulture,p,http://www.w3.org/2004/02/skos/core#Concept
p018,research and ex-situ breeding (in facilities),p046,"Plants and animals introduced for the purpose of breeding, scientific and medical research, including science education.",,See also Harrower et al. 2017 http://nora.nerc.ac.uk/id/eprint/519129,research,p,http://www.w3.org/2004/02/skos/core#Concept
p019,live food and live bait,p046,"Live food imported for human consumption, such as shellfish and snails, and for live bait. ",,"Live food, such as mealworms, for the organisms kept as pets should be classified under the pet term. See also Harrower et al. 2017 http://nora.nerc.ac.uk/id/eprint/519129",liveFoodLiveBait,p,http://www.w3.org/2004/02/skos/core#Concept
p020,other escape from confinement,p046,"Organisms brought into an area with the intention of keeping them in captivity permanently, but that have subsequently escaped.",,See also Harrower et al. 2017 http://nora.nerc.ac.uk/id/eprint/519129,otherEscape,p,http://www.w3.org/2004/02/skos/core#Concept
p021,contaminant nursery material,p047,Organisms transported into an area together with plant material.,,"These may be other plants, diseases, fungi and animals. They may be attached to the plant or within the soil. See also Harrower et al. 2017 http://nora.nerc.ac.uk/id/eprint/519129",contaminantNursery,p,http://www.w3.org/2004/02/skos/core#Concept
p022,contaminated bait,p047,"Contaminants, pathogens and parasites transported with live, frozen or preserved bait used to catch fish or other organisms.",,"Typical examples include crustaceans, cephalopods and molluscs. See also Harrower et al. 2017 http://nora.nerc.ac.uk/id/eprint/519129",contaminateBait,p,http://www.w3.org/2004/02/skos/core#Concept
p023,food contaminant (including of live food),p047,"Foods for human consumption, whether they are transported life or dead.",,"This term includes unintentional introduction of contaminants such as diseases on those foods and in the case of plants, should include seeds. See also Harrower et al. 2017 http://nora.nerc.ac.uk/id/eprint/519129",foodContaminant,p,http://www.w3.org/2004/02/skos/core#Concept
p024,"contaminant on animals (except parasites, organisms transported by host/vector)",p047,Contaminants carried either on or in the body of transported animals.,"This term excludes parasites and pathogens, which SHOULD be classified under their own specific term (""parasites on animals""). ","Transported animals carry other organisms in their coat, on thier gut and in soil on their hooves and feet. See also Harrower et al. 2017 http://nora.nerc.ac.uk/id/eprint/519129",contaminantOnAnimals,p,http://www.w3.org/2004/02/skos/core#Concept
p025,parasites on animals (including organisms transported by host and vector),p047,Parasitic and pathogenic organisms transported with their host or vector animal.,,See also Harrower et al. 2017 http://nora.nerc.ac.uk/id/eprint/519129,parasitesOnAnimals,p,http://www.w3.org/2004/02/skos/core#Concept
p026,"contaminant on plants (except parasites, species transported by host/vector)",p047,Organisms transported on plant material.,"This term excludes organisms carried on contaminant nursery material, seed contaminants, and the timber trade, which SHOULD be classified under their own pathway terms.",See also Harrower et al. 2017 http://nora.nerc.ac.uk/id/eprint/519129,contaminantOnPlants,p,http://www.w3.org/2004/02/skos/core#Concept
p027,parasites on plants (including species transported by host and vector),p047,Parasitic and pathogenic organisms transported with their host or vector plant.,,See also Harrower et al. 2017 http://nora.nerc.ac.uk/id/eprint/519129,parasitesOnPlants,p,http://www.w3.org/2004/02/skos/core#Concept
p028,seed contaminant,p047,Organisms contaminating transported seeds.,,"These may be parasites or pathogens of the seeds, seeds of other species not intended to be transported, or species that eat seeds. See also Harrower et al. 2017 http://nora.nerc.ac.uk/id/eprint/519129",seedContaminant,p,http://www.w3.org/2004/02/skos/core#Concept
p029,timber trade,p047,"Contaminants on unprocessed timber, processed wood and wood derived products.","This term excludes packing material and habitat material made from wood that SHOULD be included under their own terms (""packing material"" and ""transportation of habitat material"").","Examples include wooden furniture, saw dust and fire wood. See also Harrower et al. 2017 http://nora.nerc.ac.uk/id/eprint/519129",timberTrade,p,http://www.w3.org/2004/02/skos/core#Concept
p030,"transportation of habitat material (soil, vegetation, wood etc)",p047,Organisms transported with their habitat material to a new location.,,"Examples include materials such as soil, vegetation, straw and wood chips. Unless these materials are sterilised the organisms can be transported with their habitat to a new location. See also Harrower et al. 2017 http://nora.nerc.ac.uk/id/eprint/519129",transportationHabitatMaterial,p,http://www.w3.org/2004/02/skos/core#Concept
p031,angling/fishing equipment,p048,Aquatic organisms moved between sites on equipment of recreational anglers and professional fishermen.,,See also Harrower et al. 2017 http://nora.nerc.ac.uk/id/eprint/519129,fishingEquipment,p,http://www.w3.org/2004/02/skos/core#Concept
p032,container/bulk,p048,Stowaways transported in or on the cargo containers or bulk cargo units themselves.,,"The difference between this category and others, such as ""hitchhikers on ship/boat"", is that the organism embarked and disembarked from the container itself rather than the ship. See also Harrower et al. 2017 http://nora.nerc.ac.uk/id/eprint/519129",containerBulk,p,http://www.w3.org/2004/02/skos/core#Concept
p033,hitchhikers in or on airplane,p048,"Organisms that enter airplanes or other aircraft, such as helicopters, and are transported by them to another location.",,This term does not apply to organisms that embarked onto containers that were subsequently loaded on to an aircraft. See also Harrower et al. 2017 http://nora.nerc.ac.uk/id/eprint/519129,hitchhikersAirplane,p,http://www.w3.org/2004/02/skos/core#Concept
p034,hitchhikers on ship/boat (excluding ballast water and hull fouling),p048,Organisms that enter directly onto boats or ships and are transported by them to another location.,,"This term does not apply to organisms that embarked containers that are subsequently loaded on the ship, nor to contaminents of products loaded on the ship. The term is intended for organisms that directly interact with the boat or ship. See also Harrower et al. 2017 http://nora.nerc.ac.uk/id/eprint/519129",hitchhikersShip,p,http://www.w3.org/2004/02/skos/core#Concept
p035,machinery/equipment,p048,Organisms carried on the surfaces of or within heavy machinery and equipment.,,"This includes military equipment, farm machinery and manufacturing equipment. This term does not include products carried by vehicles. See also Harrower et al. 2017 http://nora.nerc.ac.uk/id/eprint/519129",machineryEquipment,p,http://www.w3.org/2004/02/skos/core#Concept
p036,people and their luggage/equipment (in particular tourism),p048,Organisms transported on people themselves and/or their personal luggage.,"This term excludes recreational angling equipment, which SHOULD be classified under its own term (""angling/fishing equipment""). ",Examples include organisms transported by tourists. See also Harrower et al. 2017 http://nora.nerc.ac.uk/id/eprint/519129,people,p,http://www.w3.org/2004/02/skos/core#Concept
p037,"organic packing material, in particular wood packaging",p048,"Organic material, particularly unprocessed plant material that is used to pack transported goods.",,"Examples include woodern pallets, boxes, bags and baskets. See also Harrower et al. 2017 http://nora.nerc.ac.uk/id/eprint/519129",packingMaterial,p,http://www.w3.org/2004/02/skos/core#Concept
