term_localName,label,rdfs_comment,dcterms_description,examples,rdf_type,tdwgutility_abcdEquivalence,tdwgutility_organizedInClass,tdwgutility_decision,tdwgutility_usageScope
ChronometricAge,Chronometric Age,The age of a specimen or related materials that is generated from a dating assay.,This is a categorical term (class) to organize the other chronometric age properties and does not ever have values.,,http://www.w3.org/2000/01/rdf-schema#Class,https://terms.tdwg.org/wiki/abcd-efg:StratigraphicAttributions-RadiometricDates,,,extension
chronometricAgeConversionProtocol,Chronometric Age Conversion Protocol,"The method used for converting the uncalibratedChronometricAge into a chronometric age in years, as captured in the maximumChronometricAge, maximumChronometricAgeReferenceSystem, minimumChronometricAge, and minimumChronometricAgeReferenceSystem fields.","For example, calibration of conventional radiocarbon age or the currently accepted age range of a cultural or geological period.","`INTCAL13`, `sequential 6 phase Bayesian model and IntCal13 calibration`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,https://terms.tdwg.org/wiki/abcd-efg:StratigraphicAttributions-ChronostratigraphicAttribution-Method,http://tdwg.org/chrono/terms/ChronometricAge,,extension
chronometricAgeDeterminedBy,Chronometric Age Determined By,"A list (concatenated and separated) of names of people, groups, or organizations who determined the ChronometricAge.",Recommended best practice is to separate the values in a list with space vertical bar space ( | ).,`Michelle LeFebvre | Niell Wallis`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,https://terms.tdwg.org/wiki/abcd-efg:StratigraphicAttributions-ChronostratigraphicAttribution-Identifiers,http://tdwg.org/chrono/terms/ChronometricAge,,extension
chronometricAgeDeterminedDate,Chronometric Age Determined Date,The date on which the ChronometricAge was determined.,Recommended best practice is to use a date that conforms to ISO 8601-1:2019.,`1963-03-08T14:07-0600` (8 Mar 1963 at 2:07pm in the time zone six hours earlier than UTC). `2009-02-20T08:40Z` (20 February 2009 8:40am UTC). `2018-08-29T15:19` (3:19pm local time on 29 August 2018). `1809-02-12` (some time during 12 February 1809). `1906-06` (some time in June 1906). `1971` (some time in the year 1971).,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,https://terms.tdwg.org/wiki/abcd-efg:StratigraphicAttributions-RadiometricDate-AnalysisDateTime,http://tdwg.org/chrono/terms/ChronometricAge,,extension
chronometricAgeProtocol,Chronometric Age Protocol,A description of or reference to the methods used to determine the chronometric age.,,"`radiocarbon AMS`, `K-Ar dates for the lower most marker tuff`, `historic documentation`, `ceramic seriation`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,https://terms.tdwg.org/wiki/abcd-efg:StratigraphicAttributions-ChronostratigraphicAttribution-Method,http://tdwg.org/chrono/terms/ChronometricAge,,extension
chronometricAgeReferences,Chronometric Age References,"A list (concatenated and separated) of identifiers (publication, bibliographic reference, global unique identifier, URI) of literature associated with the ChronometricAge.",Recommended best practice is to separate the values in a list with space vertical bar space ( | ).,"`Pluckhahn, Thomas J., Neill J. Wallis, and Victor D. Thompson. 2020  The History and Future of Migrationist Explanation in the Archaeology of the Eastern Woodlands: A Review and Case Study of the Woodland Period Gulf Coast. Journal of Archaeological Research. https://doi.org/10.1007/s10814-019-09140-x`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,https://terms.tdwg.org/wiki/abcd-efg:StratigraphicAttributions-ChronostratigraphicAttribution-MeasurementOrFactReference,http://tdwg.org/chrono/terms/ChronometricAge,,extension
chronometricAgeRemarks,Chronometric Age Remarks,Notes or comments about the ChronometricAge.,,"`Beta Analytic number: 323913 | One of the Crassostrea virginica right valve specimens from North Midden Feature 17 was chosen for AMS dating, but it is unclear exactly which specimen it was.`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,https://terms.tdwg.org/wiki/abcd-efg:UnitStratigraphicDetermination-DatingComment,http://tdwg.org/chrono/terms/ChronometricAge,,extension
chronometricAgeUncertaintyInYears,Chronometric Age Uncertainty In Years,The temporal uncertainty of the maximumChronometricAge and minimumChronometicAge in years.,This is the +/- number for the age in years. The expected unit for this field is years.,`100`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,https://terms.tdwg.org/wiki/abcd-efg:UnitStratigraphicDetermination-ChronostratigraphicAttribution-Accuracy,http://tdwg.org/chrono/terms/ChronometricAge,,extension
chronometricAgeUncertaintyMethod,Chronometric Age Uncertainty Method,The method used to generate the value of chronometricAgeUncertaintyInYears.,,"`2-sigma calibrated range`, `Half of 95% confidence interval`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,https://terms.tdwg.org/wiki/abcd-efg:StratigraphicAttributions-ChronostratigraphicAttribution-Method,http://tdwg.org/chrono/terms/ChronometricAge,,extension
materialDated,Material Dated,"A description of the material on which the chronometricAgeProtocol was actually performed, if known.",,"`Double Tuff`, `Charcoal found in Stratum V`, `charred wood`, `tooth`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,https://terms.tdwg.org/wiki/abcd-efg:UnitStratigraphicDetermination-MaterialDated,http://tdwg.org/chrono/terms/ChronometricAge,,extension
maximumChronometricAge,Maximum Chronometric Age,Upper limit for the age of a specimen as determined by a dating method.,"The expected unit for this field is years. This field, if populated, must have an associated maximumChronometricAgeReferenceSystem.",`27`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,https://terms.tdwg.org/wiki/abcd-efg:StratigraphicAttributions-ChronostratigraphicAttribution-UpperValue,http://tdwg.org/chrono/terms/ChronometricAge,,extension
