document_modified,term_localName,term_isDefinedBy,term_created,term_modified,term_deprecated,replaces_term,replaces1_term,replaces2_term,label,rdfs_comment,dcterms_description,examples,rdf_type,tdwgutility_abcdEquivalence,tdwgutility_organizedInClass,tdwgutility_decision,tdwgutility_usageScope
2020-07-26T07:00:00-04:00,inDescribedPlace,http://rs.tdwg.org/dwc/iri/,2015-03-27,2015-03-27,,,,,In Described Place,Use to link a dcterms:Location instance subject to the lowest level standardized hierarchically-described resource.,"Recommended best practice is to use an IRI from a controlled registry. A ""convenience property"" that replaces Darwin Core literal-value terms related to locations. See Section 2.7.5 of the Darwin Core RDF Guide for details.",`http://vocab.getty.edu/tgn/1019987`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,
2023-06-28T16:39:28-05:00,identifiedBy,http://rs.tdwg.org/dwc/iri/,2015-03-27,2023-06-28,,,,,Identified By (IRI),"A person, group, or organization who assigned the dwc:Taxon to the subject.",Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,
2023-06-28T16:39:28-05:00,recordedBy,http://rs.tdwg.org/dwc/iri/,2015-03-27,2023-06-28,,,,,Recorded By (IRI),"A person, group, or organization responsible for recording the original dwc:Occurrence.",Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,
2020-07-26T07:00:00-04:00,toTaxon,http://rs.tdwg.org/dwc/iri/,2015-03-27,2015-03-27,,,,,To Taxon,"Use to link a dwc:Identification instance subject to a taxonomic entity such as a taxon, taxon concept, or taxon name use.","A ""convenience property"" that replaces Darwin Core literal-value terms related to taxonomic entities. See Section 2.7.4 of the Darwin Core RDF Guide for details.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,
2020-07-26T07:00:00-04:00,inCollection,http://rs.tdwg.org/dwc/iri/,2015-03-27,2015-03-27,,,,,In Collection,Use to link any subject resource that is part of a collection to the collection containing the resource.,"Recommended best practice is to use an IRI from a controlled registry. A ""convenience property"" that replaces literal-value terms related to collections and institutions. See Section 2.7.3 of the Darwin Core RDF Guide for details.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,
2023-06-28T16:39:28-05:00,georeferencedBy,http://rs.tdwg.org/dwc/iri/,2015-03-27,2023-06-28,,,,,Georeferenced By (IRI),"A person, group, or organization who determined the georeference (spatial representation) for the dcterms:Location.",Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,
2023-06-28T16:39:28-05:00,behavior,http://rs.tdwg.org/dwc/iri/,2015-03-27,2023-06-28,,,,,Behavior (IRI),A description of the behavior shown by the subject at the time the dwc:Occurrence was recorded.,Recommended best practice is to use a controlled vocabulary. Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,
2020-07-26T07:00:00-04:00,dataGeneralizations,http://rs.tdwg.org/dwc/iri/,2015-03-27,2015-03-27,,,,,Data Generalizations (IRI),Actions taken to make the shared data less specific or complete than in its original form. Suggests that alternative data of higher quality may be available on request.,Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,
2023-06-28T16:39:28-05:00,disposition,http://rs.tdwg.org/dwc/iri/,2015-03-27,2023-06-28,,,,,Disposition (IRI),The current state of a specimen with respect to the collection identified in dwc:collectionCode or dwc:collectionID.,Recommended best practice is to use a controlled vocabulary. Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,
2023-09-15T17:37:28-05:00,earliestGeochronologicalEra,http://rs.tdwg.org/dwc/iri/,2015-03-27,2023-09-13,,,,,Earliest Geochronological Era,Use to link a dwc:GeologicalContext instance to chronostratigraphic time periods at the lowest possible level in a standardized hierarchy. Use this property to point to the earliest possible geological time period from which the dwc:MaterialEntity was collected.,"Recommended best practice is to use an IRI from a controlled vocabulary. A ""convenience property"" that replaces Darwin Core literal-value terms related to geological context. See Section 2.7.6 of the Darwin Core RDF Guide for details.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,
