document_modified,version,versionLocalName,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,label,definition,usage,notes,examples,definition_derived_from,type,tdwgutility_organizedInClass,term_localName
2026-02-17T02:15:45+10:00,http://rs.tdwg.org/tcs/terms/version/TaxonConcept-2025-12-11,TaxonConcept-2025-12-11,http://rs.tdwg.org/tcs/terms/version/,2025-12-11,recommended,,,,Taxon Concept,An identifiable taxonomic position that can be aligned to other such positions through TCS concept mapping relations.,A `TaxonConcept` MUST have `taxonName` and `accordingTo` properties.,"A taxonomic position is an opinion about the definition of a taxonomic group. A Taxon Concept is identifiable, because it combines a label – `taxonName` in TCS – with a source – `accordingTo`. Both the `taxonName` and `accordingTo` properties are REQUIRED on a `tcs:TaxonConcept`. When mentioning a taxon concept, the label and the source are combined, separated by 'sec.' (from, 'secundus', meaning 'according to') or 'sensu' (meaning the same). The term `dcterms:title` has been borrowed from Dublin Core to provide this taxon concept label. Because of the context provided by the source, taxon concepts are in principle also alignable to other Taxon Concepts using TCS concept mapping statements. The concept mapping properties in TCS are `isCongruentWith`, `includes`, `isIncludedIn`, `partiallyOverlaps`, `isDisjointFrom` and `intersects`. These properties can be used directly on a `TaxonConcept` object or as the value of the `tcs:mappingRelation` property in a `tcs:TaxonConceptMapping` object.¶The TCS Taxon Concept is applied more broadly than the term is used in science (e.g. Franz & Peet 2009 [\[franz_perspectives_2009\]](../bibliography/#franz_perspectives_2009)). On the one hand, things that are not generally considered to be biological taxa, e.g. hybrids and cultivars, can be casted as TCS Taxon Concepts. Also Operational Taxonomic Units (OTUs) [\[sokal_principles_1963\]](../bibliography/#sokal_principles_1963) can be exchanged as Taxon Concepts, if there is a reason to do so, e.g. if one wants to align them with other Taxon Concepts later. On the other hand, entries from treatments that are considered to cite concepts from other treatments can be formulated as Taxon Concepts. Every taxon concept from a treatment that is likely to be referenced as the source of taxonomic context, for example a field guide for a determination of a specimen or a national census for an ecological study, can – and it would be very nice if they would – be stated as a Taxon Concept, so they can be aligned with other Taxon Concepts that may provide more or different taxonomic context.¶By contrast, entries in the nomenclature section of treatments ('TaxonomicNameUsage's sensu Senderov et al. 2018 &#91;[senderov_openbiodiv-o_2018](#senderov_openbiodiv-o_2018)&#93;) and in lists of nomenclatural types are not Taxon Concepts.",https://tdwg.github.io/tcs2/examples/TaxonConcept-example-1.html | https://tdwg.github.io/tcs2/examples/TaxonConcept-example-2.html | https://tdwg.github.io/tcs2/examples/TaxonConcept-example-3.html | https://tdwg.github.io/tcs2/examples/TaxonConcept-example-4.html | https://tdwg.github.io/tcs2/examples/TaxonConcept-example-5.html | https://tdwg.github.io/tcs2/examples/TaxonConcept-example-6.html | https://tdwg.github.io/tcs2/examples/TaxonConcept-example-7.html,,http://www.w3.org/2000/01/rdf-schema#Class,http://rs.tdwg.org/tcs/terms/TaxonConcept,TaxonConcept
2026-02-17T02:15:45+10:00,http://rs.tdwg.org/tcs/terms/version/accordingTo-2025-12-11,accordingTo-2025-12-11,http://rs.tdwg.org/tcs/terms/version/,2025-12-11,recommended,,,,According To,Reference to the treatment or other source in which a Taxon Concept is established or used.,`accordingTo` is an IRI term and is REQUIRED on a Taxon Concept. A Taxon Concept can have only one `accordingTo`.,"Every Taxon Concept is in some sort of treatment and this treatment provides important context without which we do not know what a taxon name really means and therefore the `accordingTo` property is REQUIRED for a TCS Taxon Concept. In TCS 2, `accordingTo` has to be a reference to some sort of resource rather than just a person's name. However, TCS is lenient about the nature of this resource and, apart from references to bibliographic resources, references to personal communications and determinations are also acceptable, if there is value in supplying taxon concepts from such communications as Taxon Concepts.¶The value of `accordingTo` has to be an object or IRI. This object can contain as little as a bibliographic reference but it is more useful to provide it in a format that can be understood by reference managers such as Zotero or Mendeley.",https://tdwg.github.io/tcs2/examples/TaxonConcept-accordingTo-example-1.html | https://tdwg.github.io/tcs2/examples/TaxonConcept-accordingTo-example-2.html | https://tdwg.github.io/tcs2/examples/TaxonConcept-accordingTo-example-3.html,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonConcept,accordingTo
2026-02-17T02:15:45+10:00,http://rs.tdwg.org/tcs/terms/version/taxonName-2025-12-11,taxonName-2025-12-11,http://rs.tdwg.org/tcs/terms/version/,2025-12-11,recommended,,,,Taxon Name,The accepted name for the taxonomic group.,`taxonName` is an IRI term and is REQUIRED on a TCS Taxon Concept. A Taxon Concept MUST NOT have more than one `taxonName`.,"The `taxonName` can be anything from a well-formed scientific name to an informal name, vernacular name, indigenous knowledge label, or even a label containing numbers and/or special symbols, such as are often used for OTUs. ¶The object of `taxonName` is an object or IRI, so that it can be reused in other Taxon Concepts. TCS has got the Taxon Name class, which can be used for any type of name, but people are free to use alternatives, e.g. `skosxl:Label`, if they want to restrict the use of the Taxon Name class to scientific names only.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonConcept,taxonName
2026-02-17T02:15:45+10:00,http://rs.tdwg.org/tcs/terms/version/synonym-2025-12-11,synonym-2025-12-11,http://rs.tdwg.org/tcs/terms/version/,2025-12-11,recommended,,,,Synonym,Name considered to apply to the same taxon as the accepted name.,`synonym` is a Taxon Name; a Taxon Concept can have multiple synonyms.,"A synonym is an alternative label for a taxon, so `synonym`, like `taxonName`, is a relation between a `TaxonConcept` and a `TaxonName`, not a relationship between different taxonomic entities.¶The terms 'heterotypic synonym' and 'homotypic synonym' from the nomenclatural codes ('subjective synonym' and 'objective synonym', respectively, in the Zoological Code) are, in the context of Taxon Concepts and Taxon Names, best understood as synonyms (relations between Taxon Concepts and Taxon Names) and combinations (relations between Taxon Names), respectively. In TCS, combinations are dealt with using properties of the `TaxonName` class, _e.g._, `basionym` and `replacedName` (note that 'combination' is used here in a broader sense than what the term actually means). This has the advantage that people do not need to separate heterotypic and homotypic synonyms, or generally deal with nomenclature, which adds a degree of complexity that not all systems need or want. Avoiding terms that are strictly defined in the nomenclatural codes also has the advantage that the term can, in principle, be applied to things that cannot be heterotypic or homotypic synonyms, e.g., to names that are not validly published under the relevant code, and avoids inappropriate use of the terms defined in the nomenclatural codes.",https://tdwg.github.io/tcs2/examples/TaxonConcept-synonym-example-1.html | https://tdwg.github.io/tcs2/examples/TaxonConcept-synonym-example-2.html | https://tdwg.github.io/tcs2/examples/TaxonConcept-synonym-example-3.html,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonConcept,synonym
2026-02-17T02:15:45+10:00,http://rs.tdwg.org/tcs/terms/version/vernacularName-2025-12-11,vernacularName-2025-12-11,http://rs.tdwg.org/tcs/terms/version/,2025-12-11,recommended,,,,Vernacular Name,Name for a taxon in a language used for general purposes.,`vernacularName` is an IRI term; a Taxon Concept can have more than one `vernacularName`.,"The `vernacularName` property can be used when a vernacular name is used alongside a scientific name, which is the `taxonName`. If a vernacular name is the only name, the `taxonName` property SHOULD be used. The object of the `vernacularName` property can be a Taxon Name, but another label object, such as the GBIF [Vernacular Name](https://rs.gbif.org/extension/gbif/1.0/vernacularname.xml), might be preferrable, especially if there can be multiple vernacular names for a concept.",https://tdwg.github.io/tcs2/examples/TaxonConcept-vernacularName-example-1.html | https://tdwg.github.io/tcs2/examples/TaxonConcept-vernacularName-example-2.html | https://tdwg.github.io/tcs2/examples/TaxonConcept-vernacularName-example-3.html | https://tdwg.github.io/tcs2/examples/TaxonConcept-vernacularName-example-4.html,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonConcept,vernacularName
2026-02-17T02:15:45+10:00,http://rs.tdwg.org/tcs/terms/version/taxonRank-2025-12-11,taxonRank-2025-12-11,http://rs.tdwg.org/tcs/terms/version/,2025-12-11,recommended,,,,Taxon Rank,The rank at which a taxon is classified.,`taxonRank` is an IRI property; a Taxon Concept or Taxon Name MUST NOT have more than one `taxonRank`.,"This term is the IRI equivalent of the Darwin Core `taxonRank`. This property takes an object or IRI and it is RECOMMENDED to use a value from an existing controlled vocabulary. While there is no TDWG vocabulary yet, the GBIF Taxonomic Rank Vocabulary ([https://rs.gbif.org/vocabulary/gbif/rank_2015-04-24.xml](https://rs.gbif.org/vocabulary/gbif/rank_2015-04-24.xml)) is RECOMMENDED.¶A taxon name takes its rank from the taxon it is applied to, so this property can also be used on a (stand-alone) `TaxonName` object.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonConcept,taxonRank
2026-02-17T02:15:45+10:00,http://rs.tdwg.org/tcs/terms/version/parentTaxonConcept-2025-12-11,parentTaxonConcept-2025-12-11,http://rs.tdwg.org/tcs/terms/version/,2025-12-11,recommended,,,,Parent Taxon Concept,The immediately next higher taxon in a hierarchical classification.,`parentTaxonConcept` is another Taxon Concept; a Taxon Concept can have only one `parentTaxonConcept`.,"This is the parent as indicated in the `accordingTo` reference, rather than a third-party classification. The `accordingTo` of the parent will generally, but not necessarily, be the same as that of the child.",https://tdwg.github.io/tcs2/examples/TaxonConcept-parent-example-1.html,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonConcept,parentTaxonConcept
2026-02-17T02:15:45+10:00,http://rs.tdwg.org/tcs/terms/version/childTaxonConcept-2025-12-11,childTaxonConcept-2025-12-11,http://rs.tdwg.org/tcs/terms/version/,2025-12-11,recommended,,,,Child Taxon Concept,A direct subordinate in a hierarchical classification.,`childTaxonConcept` is another Taxon Concept; a Taxon Concept can have more than one `childTaxonConcept`.,"This is a child as indicated in the `accordingTo` reference, rather than a third-party classification. The `accordingTo` of the child will generally, but not necessarily, be the same as that of the parent.",https://tdwg.github.io/tcs2/examples/TaxonConcept-child-example-1.html,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonConcept,childTaxonConcept
2026-02-17T02:15:45+10:00,http://rs.tdwg.org/tcs/terms/version/isCongruentWith-2025-12-11,isCongruentWith-2025-12-11,http://rs.tdwg.org/tcs/terms/version/,2025-12-11,recommended,,,,Is Congruent With,"The subject and object taxon concepts have a congruent taxonomic meaning, i.e. there is no conflict between the concepts","`isCongruentWith` can be used as a property on a Taxon Concept object, or as the value of the `mappingRelation` property on a Taxon Concept Mapping object. In both cases both the subject and object are Taxon Concepts.","The `isCongruentWith` relation is symmetrical, so if A `isCongruentWith` B then B `isCongruentWith` A, as well as transitive, so if A `isCongruentWith` B and B `isCongruentWith` C it follows that A `isCongruentWith` C. This relation can also be written as the formula **A &cong; B** or **A == B**.¶",https://tdwg.github.io/tcs2/examples/TaxonConcept-isCongruentWith-example-1.html | https://tdwg.github.io/tcs2/examples/TaxonConceptMapping-isCongruentWith-example-2.html | https://tdwg.github.io/tcs2/examples/TaxonConcept-isCongruentWith-example-3.html | https://tdwg.github.io/tcs2/examples/TaxonConceptMapping-isCongruentWith-example-1.html,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonConcept,isCongruentWith
2026-02-17T02:15:45+10:00,http://rs.tdwg.org/tcs/terms/version/includes-2025-12-11,includes-2025-12-11,http://rs.tdwg.org/tcs/terms/version/,2025-12-11,recommended,,,,Includes,The subject taxon concept has a more inclusive taxonomic meaning than the object taxon concept,"`includes` can be used as a property on a Taxon Concept object, or as the value of the `mappingRelation` property on a Taxon Concept Mapping object. In both cases both the subject and object are Taxon Concepts.","The `includes` relation is not symmetric, its inverse relation being `isIncludedIn`, so if A `includes` B then B `isIncludedIn` A. The `includes` relation is transitive, so if A `includes` B and B `includes` C it follows that A `includes` C. This relation can also be written as the formula **A > B**.¶",https://tdwg.github.io/tcs2/examples/TaxonConcept-includes-example-1.html | https://tdwg.github.io/tcs2/examples/TaxonConceptMapping-includes-example-2.html | https://tdwg.github.io/tcs2/examples/TaxonConceptMapping-includes-example-1.html,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonConcept,includes
