header,predicate,type,value,attribute,subject_id
term_isDefinedBy,rdfs:isDefinedBy,iri,,,$root
$constant,dcterms:isPartOf,iri,http://rs-test.tdwg.org/dwc/dc/,,$root
term_created,dcterms:created,datatype,,xsd:date,$root
term_modified,dcterms:modified,datatype,,xsd:date,$root
term_deprecated,owl:deprecated,datatype,,xsd:boolean,$root
replaces_term,dcterms:replaces,iri,,,$root
replaces1_term,dcterms:replaces,iri,,,$root
replaces2_term,dcterms:replaces,iri,,,$root
label,rdfs:label,language,,en,$root
label,skos:prefLabel,language,,en,$root
rdfs_comment,rdfs:comment,language,,en,$root
rdfs_comment,skos:definition,language,,en,$root
dcterms_description,dcterms:description,language,,en,$root
tdwgutility_abcdEquivalence,tdwgutility:abcdEquivalence,plain,,,$root
tdwgutility_organizedInClass,tdwgutility:organizedInClass,iri,,,$root
tdwgutility_decision,tdwgutility:decision,iri,,,$root
rdf_type,rdf:type,iri,,,$root
