document_modified,version,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,term,term_localName,term_isDefinedBy,term_created,term_modified,term_deprecated,label,rdfs_comment,dcterms_description,rdf_type,rdfs_subPropertyOf,tdwgutility_layer,tdwgutility_required,tdwgutility_repeatable
2017-09-23T06:53:00-05:00,http://iptc.org/std/Iptc4xmpExt/2008-02-29/City#,,,,,,,http://iptc.org/std/Iptc4xmpExt/2008-02-29/City,City,http://iptc.org/std/Iptc4xmpExt/2008-02-29/,,,,City or Place Name,"Optionally, the name of a city or place commonly found in gazetteers (such as a mountain or national park) in which the subjects (e. g., species, habitats, or events) were located.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,2,No,Yes
2017-09-23T06:53:00-05:00,http://iptc.org/std/Iptc4xmpExt/2008-02-29/CountryCode#,,,,,,,http://iptc.org/std/Iptc4xmpExt/2008-02-29/CountryCode,CountryCode,http://iptc.org/std/Iptc4xmpExt/2008-02-29/,,,,Country Code,"The geographic location of the specific entity or entities documented by the media item, expressed through a constrained vocabulary of countries using 2-letter ISO country code (e. g. ""it, si"").",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,1,No,Yes
2017-09-23T06:53:00-05:00,http://iptc.org/std/Iptc4xmpExt/2008-02-29/CountryName#,,,,,,,http://iptc.org/std/Iptc4xmpExt/2008-02-29/CountryName,CountryName,http://iptc.org/std/Iptc4xmpExt/2008-02-29/,,,,Country Name,"This field can be free text, but where possible, the use of http://iptc.org/std/Iptc4xmpExt/2008-02-29/CountryCode is preferred.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,1,No,Yes
2017-09-23T06:53:00-05:00,http://iptc.org/std/Iptc4xmpExt/2008-02-29/CVterm#,,,,,,,http://iptc.org/std/Iptc4xmpExt/2008-02-29/CVterm,CVterm,http://iptc.org/std/Iptc4xmpExt/2008-02-29/,,,,Subject Category,"Controlled vocabulary of subjects to support broad classification of media items. Terms from various controlled vocabularies may be used. AC-recommended vocabularies are preferred and may be unqualified literals (not a full URI). For terms from other vocabularies either a precise URI should be used, or, as long as all unqualified terms in all vocabularies are unique, metadata should provide the source vocabularies using the Subject Category Vocabulary term.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,1,No,Yes
2017-09-23T06:53:00-05:00,http://iptc.org/std/Iptc4xmpExt/2008-02-29/LocationCreated#,,,,,,,http://iptc.org/std/Iptc4xmpExt/2008-02-29/LocationCreated,LocationCreated,http://iptc.org/std/Iptc4xmpExt/2008-02-29/,,,,Location Created,The location at which the media recording instrument was placed when the media was created.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,1,No,Yes
2017-09-23T06:53:00-05:00,http://iptc.org/std/Iptc4xmpExt/2008-02-29/LocationShown#,,,,,,,http://iptc.org/std/Iptc4xmpExt/2008-02-29/LocationShown,LocationShown,http://iptc.org/std/Iptc4xmpExt/2008-02-29/,,,,Location Shown,"The location that is depicted the media content, irrespective of the location at which the resource has been created.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,1,No,Yes
2017-09-23T06:53:00-05:00,http://iptc.org/std/Iptc4xmpExt/2008-02-29/ProvinceState#,,,,,,,http://iptc.org/std/Iptc4xmpExt/2008-02-29/ProvinceState,ProvinceState,http://iptc.org/std/Iptc4xmpExt/2008-02-29/,,,,Province or State,"Optionally, the geographic unit immediately below the country level (individual states in federal countries, provinces, or other administrative units) in which the subject of the media resource (e. g., species, habitats, or events) were located (if such information is available in separate fields).",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,1,No,Yes
2017-09-23T06:53:00-05:00,http://iptc.org/std/Iptc4xmpExt/2008-02-29/Sublocation#,,,,,,,http://iptc.org/std/Iptc4xmpExt/2008-02-29/Sublocation,Sublocation,http://iptc.org/std/Iptc4xmpExt/2008-02-29/,,,,Sublocation,"Free-form text location details of the location of the subjects, down to the village, forest, or geographic feature etc., below the Iptc4xmpExt:City place name, especially information that could not be found in a gazetteer.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,1,No,Yes
2017-09-23T06:53:00-05:00,http://iptc.org/std/Iptc4xmpExt/2008-02-29/WorldRegion#,,,,,,,http://iptc.org/std/Iptc4xmpExt/2008-02-29/WorldRegion,WorldRegion,http://iptc.org/std/Iptc4xmpExt/2008-02-29/,,,,World Region,"Name of a world region in some high level classification, such as names for continents, waterbodies, or island groups, whichever is most appropriate. The terms preferably are derived from a controlled vocabulary.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,1,No,Yes
2017-09-23T06:53:00-05:00,http://ns.adobe.com/exif/1.0/PixelXDimension#,,,,,,,http://ns.adobe.com/exif/1.0/PixelXDimension,PixelXDimension,http://ns.adobe.com/exif/1.0/,,,,Image Width,The width in pixels of the media specified by the access point.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,1,No,No
2017-09-23T06:53:00-05:00,http://ns.adobe.com/exif/1.0/PixelYDimension#,,,,,,,http://ns.adobe.com/exif/1.0/PixelYDimension,PixelYDimension,http://ns.adobe.com/exif/1.0/,,,,Image Height,The height in pixels of the media specified by the access point.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,1,No,No
2017-09-23T06:53:00-05:00,http://ns.adobe.com/photoshop/1.0/Credit#,,,,,,,http://ns.adobe.com/photoshop/1.0/Credit,Credit,http://ns.adobe.com/photoshop/1.0/,,,,Credit,"free text for ""Please cite this asﾅ""",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,1,No,No
2017-09-23T06:53:00-05:00,http://ns.adobe.com/xap/1.0/CreateDate#,,,,,,,http://ns.adobe.com/xap/1.0/CreateDate,CreateDate,http://ns.adobe.com/xap/1.0/,,,,Original Date and Time,"The date of the creation of the original resource from which the digital media was derived or created. The date and time must comply with the World Wide Web Consortium (W3C) datetime practice, which requires that date and time representation correspond to ISO 8601:1998, but with year fields always comprising 4 digits. This makes datetime records compliant with 8601:2004. AC datetime values may also follow 8601:2004 for ranges by separating two IS0 8601 datetime fields by a solidus (""forward slash"", '/'). See also the wikipedia IS0 8601 entry for further explanation and examples.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,1,No,No
2017-09-23T06:53:00-05:00,http://ns.adobe.com/xap/1.0/MetadataDate#,,,,,,,http://ns.adobe.com/xap/1.0/MetadataDate,MetadataDate,http://ns.adobe.com/xap/1.0/,,,,Metadata Date,"Point in time recording when the last modification to metadata (not necessarily the media object itself) occurred. The date and time must comply with the World Wide Web Consortium (W3C) datetime practice, which requires that date and time representation correspond to ISO 8601:1998, but with year fields always comprising 4 digits. This makes datetime records compliant with 8601:2004. AC datetime values may also follow 8601:2004 for ranges by separating two IS0 8601 datetime fields by a solidus (""forward slash"", '/'). See also the wikipedia IS0 8601 entry for further explanation and examples.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,1,No,No
2017-09-23T06:53:00-05:00,http://ns.adobe.com/xap/1.0/Rating#,,,,,,,http://ns.adobe.com/xap/1.0/Rating,Rating,http://ns.adobe.com/xap/1.0/,,,,Rating,"A rating of the media resources, provided by record originators or editors, with -1 defining ﾓrejectedﾔ, ﾓ0ﾔ defining ﾓunratedﾔ, and ﾓ1ﾔ (worst) to ﾓ5ﾔ (best).",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,1,No,No
