"identifier","context","text"
"creator:label","Label for Creator http://rs.tdwg.org/dwc/terms/creator","Tvůrce"
"creator:rdfs_comment","Comment for Creator http://rs.tdwg.org/dwc/terms/creator","Subjekt, který je primárně odpovědný za vytvoření zdroje."
"creator:dcterms_description","Description for Creator http://rs.tdwg.org/dwc/terms/creator","Upozorňujeme, že tvůrce nemusí být nutně vlastníkem autorských práv. Viz také záznam pro dcterms:creator v dokumentu Audiovisual Core term list (Seznam základních audiovizuálních termínů) a viz DCMI FAQ on DC and DCTERMS Namespaces (Často kladené otázky týkající se jmenných prostorů DC a DCTERMS) https://web.archive.org/web/20171126043657/https://github.com/dcmi/repository/blob/master/mediawiki_wiki/FAQ/DC_and_DCTERMS_Namespaces.md, kde najdete diskusi o důvodech pro použití termínů ve dvou jmenných prostorech. Obvyklou praxí je používat stejný štítek, pokud jsou k dispozici oba. Štítky nemají žádný vliv na vyhledávání informací a jsou pouze doporučením."
"creator:skos_scopeNote","Usage for Creator http://rs.tdwg.org/dwc/terms/creator","Osoba nebo organizace odpovědná za vytvoření mediálního zdroje. Hodnota MŮŽE být jednoduchý text včetně kontaktních informací."
"format:label","Label for Format (literal) http://rs.tdwg.org/dwc/terms/format","Formát (doslovný)"
"format:rdfs_comment","Comment for Format (literal) http://rs.tdwg.org/dwc/terms/format","Formát souboru, fyzické médium nebo rozměry zdroje."
"format:dcterms_description","Description for Format (literal) http://rs.tdwg.org/dwc/terms/format","Tento termín lze použít k popisu offline digitálního obsahu. V případech, kdy poskytnutá URL adresa přístupového bodu služby obsahuje standardní příponu souboru, ze které lze odvodit formát, je přípustné tuto vlastnost nevyplňovat. Viz také záznam pro dcterms:format v dokumentu se seznamem základních audiovizuálních termínů a viz DCMI FAQ o jmenných prostorech DC a DCTERMS, https://web.archive.org/web/20171126043657/https://github.com/dcmi/repository/blob/master/mediawiki_wiki/FAQ/DC_and_DCTERMS_Namespaces.md, kde najdete diskusi o důvodech pro použití termínů ve dvou jmenných prostorech. Nejlepší praxí je používat dcterms:format namísto dc:format, kdykoli je to možné. Obvyklou praxí je používat stejný štítek, pokud jsou k dispozici oba. Štítky nemají žádný vliv na vyhledávání informací a jsou pouze doporučením."
"format:skos_scopeNote","Usage for Format (literal) http://rs.tdwg.org/dwc/terms/format","Řízený řetězec hodnot popisující technický formát zdroje (formát souboru nebo fyzické médium). Řetězec BY MĚL být kontrolovanou hodnotou z Audiovisual Core Controlled Vocabulary pro formát Dublin Core, ačkoli MŮŽE být jakoukoli hodnotou typu média (typ MIME) ze seznamu typů médií IANA (https://www.iana.org/assignments/media-types/media-types.xhtml) nebo jakýmkoli běžně používaným řetězcem přípon souboru. Čitelné informace o řízeném slovníku pro formát jsou k dispozici na adrese http://rs.tdwg.org/ac/doc/format/ ."
"language:label","Label for Language http://rs.tdwg.org/dwc/terms/language","Jazyk"
"language:rdfs_comment","Comment for Language http://rs.tdwg.org/dwc/terms/language","Jazyk zdroje."
