subject,rdf_type,rdfs_comment,rdfs_domain,rdfs_isDefinedBy,rdfs_label,owl_versionInfo,dcterms_issued,dcterms_modified,dc_title,dc_creator,dc_description,dc_publisher,base_definition,com_tcsEquivalence,rdfs_range,dc_relation
<http://rs.tdwg.org/ontology/voc/TaxonConcept#accordingTo>,owl:ObjectProperty,"Information about the authorship of this concept which uses the Name in their
         sense (i.e. secundum, sensu). Could be an institution or collection or team of individuals.
         Equivalent to TCS /DataSet/TaxonConcepts/TaxonConcept/AccordingTo/AccordingToDetailed",<http://rs.tdwg.org/ontology/voc/TaxonConcept#TaxonConcept>,<http://rs.tdwg.org/ontology/voc/TaxonConcept>,accordingTo,,,,,,,,,,,
<http://rs.tdwg.org/ontology/voc/TaxonConcept#hasName>,owl:ObjectProperty,"The TaxonName for this concept. Equivalent to TCS
         /DataSet/TaxonConcepts/TaxonConcept/Name",<http://rs.tdwg.org/ontology/voc/TaxonConcept#TaxonConcept>,<http://rs.tdwg.org/ontology/voc/TaxonConcept>,Has Name,,,,,,,,,,,
<http://rs.tdwg.org/ontology/voc/TaxonConcept#TaxonConcept>,owl:Class,"Representation of a TaxonConcept. Equivalent to TCS
         /DataSet/TaxonConcepts/TaxonConcept",,<http://rs.tdwg.org/ontology/voc/TaxonConcept>,Taxon Concept,,,,,,,,,,,
<http://rs.tdwg.org/ontology/voc/TaxonConcept>,owl:Ontology,Version 0.3 removed subclass declarations to classes outside of this ontology in accordance with Recommendation 2.9 of the VoMaG Report http://www.gbif.org/resource/80862,,,,0.3,2006-11-27,2015-07-01,TDWG Taxon Concept LSID Ontology,Roger Hyam,"Ontology describing the metadata returned for LSIDs that are used for Taxon
         Concepts.",TDWG Biodiversity Information Standards,,,,
<http://rs.tdwg.org/ontology/voc/TaxonConcept>,owl:Ontology," This is not a full rendering of TaxonConcept as
         presented in the Taxon Concept Schema 1.0. Not all the possible concept-concept
         relationships have been modelled just the basic set theory and taxonomic hierarchy
         relationships. RelationshipAssertions have not been included. These omissions will be
         addressed in collaboration with the first data provider/consumer pairs who need to make use
         them. FIXME: Wonder Web OWL
            Ontology Validator
      ",,,,0.3,2006-11-27,2015-07-01,TDWG Taxon Concept LSID Ontology,Roger Hyam,"Ontology describing the metadata returned for LSIDs that are used for Taxon
         Concepts.",TDWG Biodiversity Information Standards,,,,
<http://rs.tdwg.org/ontology/voc/TaxonConcept#accordingToString>,owl:DatatypeProperty,"A string representation of the according to for this concept. Equivalent to TCS
         /DataSet/TaxonConcepts/TaxonConcept/AccordingTo/Simple",<http://rs.tdwg.org/ontology/voc/TaxonConcept#TaxonConcept>,<http://rs.tdwg.org/ontology/voc/TaxonConcept>,According To String,,,,,,,,,,,
<http://rs.tdwg.org/ontology/voc/TaxonConcept#circumscribedBy>,owl:ObjectProperty,"A specimen that forms part of the circumscription of this taxon. Equivalent to
         TCS /DataSet/TaxonConcepts/TaxonConcept/SpecimenCircumscription",<http://rs.tdwg.org/ontology/voc/TaxonConcept#TaxonConcept>,<http://rs.tdwg.org/ontology/voc/TaxonConcept>,Circumscribed By,,,,,,,,,,,
<http://rs.tdwg.org/ontology/voc/TaxonConcept#describedBy>,owl:ObjectProperty,"A description that delimits this taxon. Equivalent to TCS
         /DataSet/TaxonConcepts/TaxonConcept/CharacterCircumscription",<http://rs.tdwg.org/ontology/voc/TaxonConcept#TaxonConcept>,<http://rs.tdwg.org/ontology/voc/TaxonConcept>,Described By,,,,,,,,,,,
<http://rs.tdwg.org/ontology/voc/TaxonConcept#DoesNotInclude>,<http://rs.tdwg.org/ontology/voc/TaxonConcept#TaxonRelationshipTerm>,,,,Does Not Include,,,,Does Not Include,,,,Set Relationship: Concept 2 is not a subset of Concept 1,/RelationshipType/does not include,,
<http://rs.tdwg.org/ontology/voc/TaxonConcept#DoesNotOverlap>,<http://rs.tdwg.org/ontology/voc/TaxonConcept#TaxonRelationshipTerm>,,,,Does Not Overlap,,,,Does Not Overlap,,,,"Set Relationship: Concepts 1 and 2 have no members/children in
         common",/RelationshipType/does not overlap,,
