document_modified,version,versionLocalName,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,label,rdfs_comment,dcterms_description,examples,rdf_type,tdwgutility_abcdEquivalence,tdwgutility_organizedInClass,tdwgutility_decision,tdwgutility_usageScope,term_localName
2024-03-26T14:27:46-05:00,http://rs.tdwg.org/eco/terms/version/absentTaxa-2024-02-28,absentTaxa-2024-02-28,http://rs.tdwg.org/eco/terms/version/,2024-02-28,superseded,,,,Absent Taxa,A list (concatenated and separated) of taxa reported absent during the dwc:Event.,Absences can be reported at any taxonomic level. Recommended best practice is to separate multiple values in a list with space vertical bar space ( | ).,`Parabuteo unicinctus | Geranoaetus melanoleucus`; `Cetoniinae | Aclopinae | Cyclocephala modesta`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/Event,,extension,absentTaxa
2024-03-03T11:15:27-06:00,http://rs.tdwg.org/eco/terms/version/abundanceCap-2024-02-28,abundanceCap-2024-02-28,http://rs.tdwg.org/eco/terms/version/,2024-02-28,recommended,,,,Abundance Cap,The reported maximum number of dwc:Organisms.,,`300`; `700`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/Event,,extension,abundanceCap
2024-03-03T11:15:27-06:00,http://rs.tdwg.org/eco/terms/version/areNonTargetTaxaFullyReported-2024-02-28,areNonTargetTaxaFullyReported-2024-02-28,http://rs.tdwg.org/eco/terms/version/,2024-02-28,recommended,,,,Are Non-target Taxa Fully Reported,"Every dwc:Organism that was outside of the target taxonomic scope (the combination of eco:targetTaxonomicScope and eco:excludedTaxonomicScope) and detected during the dwc:Event, and that was detectable using the given protocol (given in eco:protocolDescription and dwc:samplingProtocol), was reported.","This term is meant to inform a user of the data whether there were non-target taxa that were detected, but left unreported. This term is only relevant if the dwc:Event used restricted search or open search methods and if a target taxonomic scope is declared. Taxonomic scope is based on the combination of eco:targetTaxonomicScope and eco:excludedTaxonomicScope. Within dwc:Events that used either a restricted search or an open search method and declared a taxonomic scope, if all dwc:Organisms that are not included within the target taxonomic scope and that were detected during the dwc:Event were reported, the value of this term should be 'true', otherwise the value of this term should be ‘false'.",`true`; `false`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/Event,,extension,areNonTargetTaxaFullyReported
2024-03-26T14:27:46-05:00,http://rs.tdwg.org/eco/terms/version/compilationSourceTypes-2024-02-28,compilationSourceTypes-2024-02-28,http://rs.tdwg.org/eco/terms/version/,2024-02-28,superseded,,,,Compilation Source Types,The types of data sources contributing to the compilation reported.,This term is only relevant if the dwc:Event is a compilation in which one or more types of data sources were used. Recommended best practice is to use a controlled vocabulary and separate multiple values in a list with space vertical bar space ( | ).,`museumSpecimens`; `literature`; `expertKnowledge | localKnowledge`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/Event,,extension,compilationSourceTypes
2024-03-26T14:27:46-05:00,http://rs.tdwg.org/eco/terms/version/compilationTypes-2024-02-28,compilationTypes-2024-02-28,http://rs.tdwg.org/eco/terms/version/,2024-02-28,superseded,,,,Compilation Types,"A statement specifying whether data reported are derived from sampling events, ancillary data compiled from other sources, or a combination of both.",This term is only relevant if the dwc:Event is an inventory. Recommended best practice is to use a controlled vocabulary. Recommended best practice is to separate the values in a list with space vertical bar space (` | `).,`samplingEvents`; `compilationOfExistingSourcesAndSamplingEvents`; `compilationOfExistingSources`; `compilationOfExistingSourcesAndSamplingEvents | compilationOfExistingSources`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/Event,,extension,compilationTypes
2024-03-26T14:27:46-05:00,http://rs.tdwg.org/eco/terms/version/eventDurationUnit-2024-02-28,eventDurationUnit-2024-02-28,http://rs.tdwg.org/eco/terms/version/,2024-02-28,superseded,,,,Event Duration Unit,The units associated with the eco:eventDurationValue.,Recommended best practice is to use a controlled vocabulary.,`minutes`; `hours`; `days`; `months`; `years`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/Event,,extension,eventDurationUnit
2024-03-03T11:15:27-06:00,http://rs.tdwg.org/eco/terms/version/eventDurationValue-2024-02-28,eventDurationValue-2024-02-28,http://rs.tdwg.org/eco/terms/version/,2024-02-28,recommended,,,,Event Duration Value,The numeric value for the duration of the dwc:Event.,An eco:eventDurationValue must have a corresponding eco:eventDurationUnit.,`1`; `30`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/Event,,extension,eventDurationValue
2024-03-26T14:27:46-05:00,http://rs.tdwg.org/eco/terms/version/excludedDegreeOfEstablishmentScope-2024-02-28,excludedDegreeOfEstablishmentScope-2024-02-28,http://rs.tdwg.org/eco/terms/version/,2024-02-28,superseded,,,,Excluded Degree of Establishment Scope,The degrees of establishment of the dwc:Organisms explicitly excluded from sampling during the dwc:Event.,"Recommended best practice is to use controlled value strings from the controlled vocabulary (http://rs.tdwg.org/dwcdoe/) for dwc:degreeOfEstablishment. For details, refer to https://doi.org/10.3897/biss.3.38084. Recommended best practice is to separate multiple values in a list with space vertical bar space ( | ).",`native`; `invasive | widespreadInvasive`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/Event,,extension,excludedDegreeOfEstablishmentScope
2024-03-26T14:27:46-05:00,http://rs.tdwg.org/eco/terms/version/excludedGrowthFormScope-2024-02-28,excludedGrowthFormScope-2024-02-28,http://rs.tdwg.org/eco/terms/version/,2024-02-28,superseded,,,,Excluded Growth Form Scope,The growth forms or habits of the dwc:Organisms explicitly excluded from sampling during the dwc:Event.,Recommended best practice is to use a controlled vocabulary and separate multiple values in a list with space vertical bar space ( | ).,`tree`; `shrub | subShrub`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/Event,,extension,excludedGrowthFormScope
2024-03-26T14:27:46-05:00,http://rs.tdwg.org/eco/terms/version/excludedHabitatScope-2024-02-28,excludedHabitatScope-2024-02-28,http://rs.tdwg.org/eco/terms/version/,2024-02-28,superseded,,,,Excluded Habitat Scope,The habitats explicitly excluded from sampling during the dwc:Event.,Recommended best practice is to use a controlled vocabulary and separate multiple values in a list with space vertical bar space ( | ).,`wetFlatwoods`; `swamp | estuary`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/Event,,extension,excludedHabitatScope
