document_modified,term_localName,term_isDefinedBy,term_created,term_modified,term_deprecated,replaces_term,replaces1_term,replaces2_term,label,definition,usage,notes,controlled_value_string,skos_inScheme,type
2020-10-18T01:16:16-04:00,d,http://rs.tdwg.org/dwcdoe/values/,2020-10-13,2020-10-13,,,,,degreeOfEstablishment concept scheme,A SKOS Concept Scheme to be used as a controlled vocabulary for the Darwin Core terms dwc:degreeOfEstablishment and dwciri:degreeOfEstablishment,,,,,http://www.w3.org/2004/02/skos/core#ConceptScheme
2021-09-01T22:13:30-05:00,d001,http://rs.tdwg.org/dwcdoe/values/,2020-10-13,2021-09-01,,,,,native (category A),Not transported beyond limits of native range.,,"Considered native and naturally occurring. See also ""category A"" in Blackburn et al. 2011. https://doi.org/10.1016/j.tree.2011.03.023",native,d,http://www.w3.org/2004/02/skos/core#Concept
2021-09-01T22:13:30-05:00,d002,http://rs.tdwg.org/dwcdoe/values/,2020-10-13,2021-09-01,,,,,captive (category B1),"Individuals in captivity or quarantine (i.e., individuals provided with conditions suitable for them, but explicit measures of containment are in place).",Only for cases where specific actions have been taken place to prevent escape of individuals or propagules.,"See also ""category B1"" in Blackburn et al. 2011. https://doi.org/10.1016/j.tree.2011.03.023",captive,d,http://www.w3.org/2004/02/skos/core#Concept
2021-09-01T22:13:30-05:00,d003,http://rs.tdwg.org/dwcdoe/values/,2020-10-13,2021-09-01,,,,,cultivated (category B2),"Individuals in cultivation (i.e., individuals provided with conditions suitable for them, but explicit measures to prevent dispersal are limited at best).",,"Examples include gardens, parks and farms. See also ""category B2"" in Blackburn et al. 2011. https://doi.org/10.1016/j.tree.2011.03.023",cultivated,d,http://www.w3.org/2004/02/skos/core#Concept
2021-09-01T22:13:30-05:00,d004,http://rs.tdwg.org/dwcdoe/values/,2020-10-13,2021-09-01,,,,,released (category B3),Individuals directly released into novel environment.,,"For example, fish stocked for angling, birds for hunting. See also ""category B3"" in Blackburn et al. 2011. https://doi.org/10.1016/j.tree.2011.03.023",released,d,http://www.w3.org/2004/02/skos/core#Concept
2021-09-01T22:13:30-05:00,d005,http://rs.tdwg.org/dwcdoe/values/,2020-10-13,2021-09-01,,,,,failing (category C0),"Individuals released outside of captivity or cultivation in a location, but incapable of surviving for a significant period.",,"For example, frost-tender plants sown or planted in a cold climate. See also ""category C0"" in Blackburn et al. 2011. https://doi.org/10.1016/j.tree.2011.03.023",failing,d,http://www.w3.org/2004/02/skos/core#Concept
2021-09-01T22:13:30-05:00,d006,http://rs.tdwg.org/dwcdoe/values/,2020-10-13,2021-09-01,,,,,casual (category C1),Individuals surviving outside of captivity or cultivation in a location with no reproduction.,,"Trees planted in the wild for forestry or ornament may come under this category. See also ""category C1"" in Blackburn et al. 2011. https://doi.org/10.1016/j.tree.2011.03.023",casual,d,http://www.w3.org/2004/02/skos/core#Concept
2021-09-01T22:13:30-05:00,d007,http://rs.tdwg.org/dwcdoe/values/,2020-10-13,2021-09-01,,,,,reproducing (category C2),"Individuals surviving outside of captivity or cultivation in a location. Reproduction is occurring, but population not self-sustaining.",,"Offspring are produced, but these either do not survive or are not fertile enough to maintain the population. See also ""category C2"" in Blackburn et al. 2011. https://doi.org/10.1016/j.tree.2011.03.023",reproducing,d,http://www.w3.org/2004/02/skos/core#Concept
2021-09-01T22:13:30-05:00,d008,http://rs.tdwg.org/dwcdoe/values/,2020-10-13,2021-09-01,,,,,established (category C3),"Individuals surviving outside of captivity or cultivation in a location. Reproduction occurring, and population self-sustaining.",,"The population is maintained by reproduction, but is not spreading. See also ""category C3"" in Blackburn et al. 2011. https://doi.org/10.1016/j.tree.2011.03.023",established,d,http://www.w3.org/2004/02/skos/core#Concept
2021-09-01T22:13:30-05:00,d009,http://rs.tdwg.org/dwcdoe/values/,2020-10-13,2021-09-01,,,,,colonising (category D1),"Self-sustaining population outside of captivity or cultivation, with individuals surviving a significant distance from the original point of introduction.",,"The population is maintained by reproduction and is spreading. See also ""category D1"" in Blackburn et al. 2011. https://doi.org/10.1016/j.tree.2011.03.023",colonising,d,http://www.w3.org/2004/02/skos/core#Concept
2021-09-01T22:13:30-05:00,d010,http://rs.tdwg.org/dwcdoe/values/,2020-10-13,2021-09-01,,,,,invasive (category D2),"Self-sustaining population outside of captivity or cultivation, with individuals surviving and reproducing a significant distance from the original point of introduction.",,"The population is maintained by reproduction, is spreading, and its progeny are also reproducing and spreading. See also ""category D2"" in Blackburn et al. 2011. https://doi.org/10.1016/j.tree.2011.03.023",invasive,d,http://www.w3.org/2004/02/skos/core#Concept
2021-09-01T22:13:30-05:00,d011,http://rs.tdwg.org/dwcdoe/values/,2020-10-13,2021-09-01,,,,,widespread invasive (category E),"Fully invasive species, with individuals dispersing, surviving and reproducing at multiple sites across a spectrum of habitats and geographic range.",This term is only used for those invasives with the highest degree of encroachment.,"See also ""category E"" in Blackburn et al. 2011. https://doi.org/10.1016/j.tree.2011.03.023",widespreadInvasive,d,http://www.w3.org/2004/02/skos/core#Concept
