term_localName,label_en,label_cs,label_de,label_es,label_fr,label_ko,label_nl,label_pt,label_ru,label_zh-Hans,label_zh-Hant,rdfs_comment_en,rdfs_comment_cs,rdfs_comment_de,rdfs_comment_es,rdfs_comment_fr,rdfs_comment_ko,rdfs_comment_nl,rdfs_comment_pt,rdfs_comment_ru,rdfs_comment_zh-Hans,rdfs_comment_zh-Hant,skos_scopeNote_en,skos_scopeNote_cs,skos_scopeNote_de,skos_scopeNote_es,skos_scopeNote_fr,skos_scopeNote_ko,skos_scopeNote_nl,skos_scopeNote_pt,skos_scopeNote_ru,skos_scopeNote_zh-Hans,skos_scopeNote_zh-Hant,dcterms_description_en,dcterms_description_cs,dcterms_description_de,dcterms_description_es,dcterms_description_fr,dcterms_description_ko,dcterms_description_nl,dcterms_description_pt,dcterms_description_ru,dcterms_description_zh-Hans,dcterms_description_zh-Hant,examples_en,examples_cs,examples_de,examples_es,examples_fr,examples_ko,examples_nl,examples_pt,examples_ru,examples_zh-Hans,examples_zh-Hant
available,Date Available,Datum k dispozici,,,,,,,,,,Date (often a range) that the resource became or will become available. ,"Datum (často rozsah), kdy byl nebo bude zdroj k dispozici. ",,,,,,,,,,"The date (often a range) that the resource became or will become available. The date and time MUST comply with the World Wide Web Consortium (W3C) datetime practice, https://www.w3.org/TR/NOTE-datetime, which requires that date and time representation correspond to ISO 8601:1998, but with year fields always comprising 4 digits. This makes datetime records compliant with 8601:2004, https://www.iso.org/standard/40874.html. AC datetime values MAY also follow 8601:2004 for ranges by separating two IS0 8601 datetime fields by a solidus (""forward slash"", '/').","Datum (často rozsah), kdy byl nebo bude zdroj k dispozici. Datum a čas MUSÍ být v souladu s praxí World Wide Web Consortium (W3C) pro datetime, https://www.w3.org/TR/NOTE-datetime, která vyžaduje, aby zobrazení data a času odpovídalo normě ISO 8601:1998, ale s ročními poli vždy obsahujícími 4 číslice. Díky tomu jsou záznamy datumu a času v souladu s normou 8601:2004, https://www.iso.org/standard/40874.html. Hodnoty datumu a času AC MOHOU také odpovídat normě 8601:2004 pro rozsahy oddělením dvou polí datumu a času IS0 8601 lomítkem („přední lomítko“, ‚/‘).",,,,,,,,,,"A use case is the harvesting of metadata published before the media are available, which are pending a formal publication elsewhere. One important example is the case of metadata that documents an occurrence, which metadata harvesters might exploit without use of the media. See also the wikipedia IS0 8601 entry, https://en.wikipedia.org/wiki/ISO_8601, for further explanation and examples.","Příkladem použití je sběr metadat zveřejněných předtím, než jsou média k dispozici, a která čekají na formální zveřejnění jinde. Důležitým příkladem jsou metadata dokumentující událost, která mohou sběratelé metadat využít bez použití médií. Další vysvětlení a příklady najdete také ve wikipedii IS0 8601, https://en.wikipedia.org/wiki/ISO_8601.",,,,,,,,,,,,,,,,,,,,
creator,Creator,Tvůrce,,,,,,,,,,An entity primarily responsible for making the resource. ,"Subjekt, který je primárně odpovědný za vytvoření zdroje. ",,,,,,,,,,A URI representing the person or organization responsible for creating the media resource.,URI představující osobu nebo organizaci odpovědnou za vytvoření mediálního zdroje.,,,,,,,,,,"Note that the Creator need not be the Copyright Owner. See also the entry for dc:creator in the Audiovisual Core term list document and see the DCMI FAQ on DC and DCTERMS Namespaces, https://web.archive.org/web/20171126043657/https://github.com/dcmi/repository/blob/master/mediawiki_wiki/FAQ/DC_and_DCTERMS_Namespaces.md, for discussion of the rationale for terms in two namespaces. Normal practice is to use the same Label if both are provided. Labels have no effect on information discovery and are only suggestions.","Upozorňujeme, že tvůrce nemusí být nutně vlastníkem autorských práv. Viz také záznam pro dc:creator v dokumentu se seznamem základních audiovizuálních termínů a viz DCMI FAQ o jmenných prostorech DC a DCTERMS, https://web.archive.org/web/20171126043657/https://github.com/dcmi/repository/blob/master/mediawiki_wiki/FAQ/DC_and_DCTERMS_Namespaces.md, kde najdete diskusi o důvodech pro použití termínů ve dvou jmenných prostorech. Obvyklou praxí je používat stejný štítek, pokud jsou k dispozici oba. Štítky nemají žádný vliv na vyhledávání informací a jsou pouze doporučením.",,,,,,,,,,,,,,,,,,,,
description,Description,Popis,,,Description,,,,,,,An account of the resource. ,Popis zdroje. ,,,,,,,,,,"Description of collection or individual resource, containing the Who, What, When, Where and Why as free-form text.","Popis sbírky nebo jednotlivého zdroje obsahující informace o tom, kdo, co, kdy, kde a proč, ve formě volného textu.",,,,,,,,,,"This property optionally allows the presentation of detailed information and will in most cases be shown together with the resource title. If both a description and a caption are present in the metadata, a description is typically displayed instead of the resource, whereas a caption is displayed together with the resource. The description should aim to be a good proxy for the underlying media resource in cases where only text can be shown, whereas the caption may only make sense when shown together with the media. Thus, in HTML it would be appropriate to use dcterms:description values for alt attributes in img elements. Often only one of description or caption is present; choose the term most appropriate for your metadata. It is the role of implementers of an AC concrete representation (e.g., an XML Schema, an RDF representation, etc.) to decide and document how formatting advice will be represented in descriptions serialized according to such representations.","Tato vlastnost volitelně umožňuje zobrazení podrobných informací a ve většině případů se zobrazuje společně s názvem zdroje. Pokud jsou v metadatech přítomny jak popis, tak titulek, obvykle se místo zdroje zobrazí popis, zatímco titulek se zobrazí společně se zdrojem. Popis by měl být dobrým zástupcem podkladového mediálního zdroje v případech, kdy lze zobrazit pouze text, zatímco titulek může dávat smysl pouze tehdy, je-li zobrazen společně s médiem. V HTML by proto bylo vhodné použít hodnoty dcterms:description pro atributy alt v prvcích img. Často je k dispozici pouze popis nebo titulek; vyberte termín, který je pro vaše metadata nejvhodnější. Úkolem implementátorů konkrétní reprezentace AC (např. XML schéma, reprezentace RDF atd.) je rozhodnout a zdokumentovat, jak budou formátovací pokyny reprezentovány v popisech serializovaných podle těchto reprezentací.",,,,,,,,,,,,,,,,,,,,
format,Format (IRI),Formát (IRI),,,,,,,,,,"The file format, physical medium, or dimensions of the resource. ","Formát souboru, fyzické médium nebo rozměry zdroje. ",,,,,,,,,,An IRI denoting the technical format of the resource (file format or physical medium). The IRI SHOULD be from the Audiovisual Core Controlled Vocabulary for Dublin Core format. Human-readable information about the Controlled Vocabulary for format is at http://rs.tdwg.org/ac/doc/format/ .,"IRI označující technický formát zdroje (formát souboru nebo fyzické médium). IRI BY MĚLO pocházet z Audiovisual Core Controlled Vocabulary pro formát Dublin Core. Informace o řízeném slovníku pro formát, které jsou čitelné pro člověka, jsou k dispozici na adrese http://rs.tdwg.org/ac/doc/format/ .",,,,,,,,,,"In cases where an IRI for the format does not exist in the controlled vocabulary, a provider can omit this property and provide a media type or file extension value for dc:format. See the DCMI FAQ on DC and DCTERMS Namespaces, https://web.archive.org/web/20171126043657/https://github.com/dcmi/repository/blob/master/mediawiki_wiki/FAQ/DC_and_DCTERMS_Namespaces.md, for discussion of the rationale for terms in two namespaces. Labels have no effect on information discovery and are only suggestions.","V případech, kdy IRI pro formát neexistuje v kontrolovaném slovníku, může poskytovatel tuto vlastnost vynechat a uvést hodnotu typu média nebo přípony souboru pro dc:format. Viz DCMI FAQ o jmenných prostorech DC a DCTERMS, https://web.archive.org/web/20171126043657/https://github.com/dcmi/repository/blob/master/mediawiki_wiki/FAQ/DC_and_DCTERMS_Namespaces.md, kde najdete diskusi o důvodech pro použití termínů ve dvou jmenných prostorech. Štítky nemají žádný vliv na vyhledávání informací a slouží pouze jako doporučení.",,,,,,,,,,,,,,,,,,,,
identifier,Identifier,Identifikátor,,Identificador,Identifiant,,,,,,,An unambiguous reference to the resource within a given context. ,Jednoznačný odkaz na zdroj v daném kontextu. ,,,,,,,,,,"An arbitrary code that is unique for the resource, with the resource being either a provider, collection, or media item.","Libovolný kód, který je jedinečný pro daný zdroj, přičemž zdrojem může být poskytovatel, sbírka nebo mediální položka.",,,,,,,,,,"Using multiple identifiers implies that they have a same-as relationship, i.e. they all identify the same object (e. g. an object may have all of an http-URL, an lsid-URI, and a UUID).","Použití více identifikátorů znamená, že mají stejný vztah, tj. všechny identifikují stejný objekt (např. objekt může mít http-URL, lsid-URI a UUID).",,,,,,,,,,,,,,,,,,,,
language,Language,Jazyk,,Idioma,Langue,,,,Язык,,,A language of the resource. ,Jazyk zdroje. ,,,,,,,,,,"URI from the ISO639-2 list of URIs for ISO 3-letter language codes, http://id.loc.gov/vocabulary/iso639-2.","URI ze seznamu URI ISO639-2 pro třípísmenné jazykové kódy ISO, http://id.loc.gov/vocabulary/iso639-2.",,,,,,,,,,"An image may contain language such as superimposed labels. If an image is of a natural scene or organism, without any language included, the resource is language-neutral with URI http://id.loc.gov/vocabulary/iso639-2/zxx corresponding to ISO ISO639-2 code ""zxx"". Resources with present but unknown language are to be coded as undetermined, with URI http://id.loc.gov/vocabulary/iso639-2/und corresponding to ISO639-2 code ""und"". Regional dialects or other special cases should conform to the ISO639-5 Alpha-3 Code for Language Families and Groups, http://id.loc.gov/vocabulary/iso639-5.html, where possible or the IETF Best Practices for Tags Identifying Languages, https://tools.ietf.org/html/rfc5646, where not. See also the entry for dc:language in the Audiovisual Core term list document and see the DCMI FAQ on DC and DCTERMS Namespaces, https://web.archive.org/web/20171126043657/https://github.com/dcmi/repository/blob/master/mediawiki_wiki/FAQ/DC_and_DCTERMS_Namespaces.md, for discussion of the rationale for terms in two namespaces. Normal practice is to use the same Label if both are provided. Labels have no effect on information discovery and are only suggestions.","Obrázek může obsahovat jazyk, například překryté popisky. Pokud se jedná o obrázek přírodní scény nebo organismu bez jakéhokoli jazyka, je zdroj jazykově neutrální s URI http://id.loc.gov/vocabulary/iso639-2/zxx odpovídajícím kódu ISO ISO639-2 „zxx“. Zdroje s přítomným, ale neznámým jazykem se kódují jako neurčené, s URI http://id.loc.gov/vocabulary/iso639-2/und odpovídající kódu ISO639-2 „und“. Regionální dialekty nebo jiné zvláštní případy by měly být v souladu s kódem ISO639-5 Alpha-3 pro jazykové rodiny a skupiny, http://id.loc.gov/vocabulary/iso639-5.html, pokud je to možné, nebo s osvědčenými postupy IETF pro značky identifikující jazyky, https://tools.ietf.org/html/rfc5646, pokud to není možné. Viz také záznam pro dc:language v dokumentu se seznamem základních audiovizuálních termínů a viz DCMI FAQ o jmenných prostorech DC a DCTERMS, https://web.archive.org/web/20171126043657/https://github.com/dcmi/repository/blob/master/mediawiki_wiki/FAQ/DC_and_DCTERMS_Namespaces.md, kde se diskutuje o důvodech pro použití termínů ve dvou jmenných prostorech. Obvyklou praxí je používat stejný štítek, pokud jsou k dispozici oba. Štítky nemají žádný vliv na vyhledávání informací a jsou pouze doporučením.",,,,,,,,,,,,,,,,,,,,
modified,Modified,Změněno,,Modificado,Modifié,,,,Изменено,,已修改,Date on which the resource was changed. ,"Datum, kdy byl zdroj změněn. ",,,,,,,,,,"Date that the media resource was altered. The date and time MUST comply with the World Wide Web Consortium (W3C) datetime practice, https://www.w3.org/TR/NOTE-datetime, which requires that date and time representation correspond to ISO 8601:1998, https://www.iso.org/standard/40874.html, but with year fields always comprising 4 digits. This makes datetime records compliant with 8601:2004. AC datetime values MAY also follow 8601:2004 for ranges by separating two IS0 8601 datetime fields by a solidus (""forward slash"", '/').","Datum, kdy byl mediální zdroj změněn. Datum a čas MUSÍ být v souladu s praxí World Wide Web Consortium (W3C) pro datové a časové údaje, https://www.w3.org/TR/NOTE-datetime, která vyžaduje, aby zobrazení data a času odpovídalo normě ISO 8601:1998, https://www.iso.org/standard/40874.html, ale s ročními poli vždy obsahujícími 4 číslice. Díky tomu jsou záznamy datumu a času v souladu s normou 8601:2004. Hodnoty datumu a času AC MOHOU také odpovídat normě 8601:2004 pro rozsahy oddělením dvou polí datumu a času IS0 8601 lomítkem (""forward slash"", '/').",,,,,,,,,,"dcterms:modified permits all modification dates to be recorded, or if only one is recorded, it is assumed to be the latest. See also the wikipedia IS0 8601 entry, https://en.wikipedia.org/wiki/ISO_8601, for further explanation and examples.","dcterms:modified umožňuje zaznamenat všechna data úprav, nebo pokud je zaznamenáno pouze jedno, předpokládá se, že se jedná o nejnovější. Další vysvětlení a příklady najdete také ve wikipedii IS0 8601, https://en.wikipedia.org/wiki/ISO_8601.",,,,,,,,,,,,,,,,,,,,
rights,Copyright Statement,Prohlášení o autorských právech,,,,,,,,,,Information about rights held in and over the resource.,Informace o právech ke zdroji a nad zdrojem.,,Información sobre los derechos que se tienen y se retienen sobre el recurso.,Informations sur les droits détenus dans et sur la ressource.,,,,"Сведения о правах, связанных с ресурсом и действующих в отношении него.",,,"A URI pointing to structured information about rights held in and over the resource. At least one of dcterms:rights and dc:rights MUST be supplied but, when feasible, supplying both might make the metadata more widely useful. They MUST specify the same rights. In case of ambiguity, dcterms:rights prevails.","URI odkazující na strukturované informace o právech držených v rámci daného zdroje a nad ním. Musí být uvedeno alespoň jedno z dcterms:rights a dc:rights, ale pokud je to možné, uvedení obou může zvýšit užitečnost metadat. Musí specifikovat stejná práva. V případě nejednoznačnosti má přednost dcterms:rights.",,,,,,,,,,"This expresses rights over the media resource, not over the metadata text. See also the entry for dc:rights in the Audiovisual Core Term List document and see the DCMI FAQ on DC and DCTERMS Namespaces, https://web.archive.org/web/20171126043657/https://github.com/dcmi/repository/blob/master/mediawiki_wiki/FAQ/DC_and_DCTERMS_Namespaces.md, for discussion of the rationale for terms in two namespaces. Normal practice is to use the same Label if both are provided. Labels have no effect on information discovery and are only suggestions. Examples include http://creativecommons.org/licenses/by/3.0/legalcode and http://creativecommons.org/publicdomain/zero/1.0/.","Vyjadřuje práva k mediálnímu zdroji, nikoli k textu metadat. Viz také záznam pro dc:rights v dokumentu Audiovisual Core Term List (Seznam základních audiovizuálních termínů) a viz DCMI FAQ on DC and DCTERMS Namespaces (Často kladené otázky k DC a DCTERMS Namespaces), https://web.archive.org/web/20171126043657/https://github.com/dcmi/repository/blob/master/mediawiki_wiki/FAQ/DC_and_DCTERMS_Namespaces.md, kde se diskutuje o důvodech pro použití termínů ve dvou jmenných prostorech. Obvyklou praxí je používat stejný štítek, pokud jsou k dispozici oba. Štítky nemají žádný vliv na vyhledávání informací a jsou pouze doporučením. Příklady zahrnují http://creativecommons.org/licenses/by/3.0/legalcode a http://creativecommons.org/publicdomain/zero/1.0/.",,,,,,,,,,,,,,,,,,,,
source,Published Source,Zveřejněný zdroj,,,,,,,,,,A related resource from which the described resource is derived. ,"Související zdroj, ze kterého je popsaný zdroj odvozen. ",,,,,,,,,,URI for an identifiable source from which the described resources was derived.,"URI pro identifikovatelný zdroj, ze kterého byly popsané zdroje odvozeny.",,,,,,,,,,"If the resource was digitized from a non-digital resource, or was also previously published in a digital or printed publication, this describes the original. If a string is required for this, use dc:source. Do not put generally ""related"" publications in here. A URI that can be resolved and dereferenced to provide a description of the source resource may also be used here. For example, ""http://www.loc.gov/pictures/item/fsa1998021539/PP/"" is the address of a web page that provides a description the original negative of a famous picture by the photographer Dorothea Lange and so would be an appropriate value of dcterms:source. The term may be repeatable if a montage of images. Information about further provenance beyond the ultimate source should be put in the derivedFrom attribute. See also the entry for dc:source in the Audiovisual Core term list document and see the DCMI FAQ on DC and DCTERMS Namespaces, https://web.archive.org/web/20171126043657/https://github.com/dcmi/repository/blob/master/mediawiki_wiki/FAQ/DC_and_DCTERMS_Namespaces.md, for discussion of the rationale for terms in two namespaces. Normal practice is to use the same Label if both are provided. Labels have no effect on information discovery and are only suggestions.","Pokud byl zdroj digitalizován z nedigitálního zdroje nebo byl již dříve publikován v digitální nebo tištěné publikaci, popisuje se zde originál. Pokud je k tomu zapotřebí řetězec, použijte dc:source. Neuvádějte zde obecně „související” publikace. Zde lze také použít URI, které lze vyřešit a dereferencovat, aby poskytlo popis zdrojového zdroje. Například „http://www.loc.gov/pictures/item/fsa1998021539/PP/“ je adresa webové stránky, která poskytuje popis originálního negativu slavné fotografie fotografky Dorothey Lange, a proto by byla vhodnou hodnotou pro dcterms:source. Termín může být opakovatelný, pokud se jedná o montáž obrázků. Informace o dalším původu nad rámec konečného zdroje by měly být uvedeny v atributu derivedFrom. Viz také záznam pro dc:source v dokumentu Audiovisual Core term list (Seznam základních audiovizuálních termínů) a viz DCMI FAQ on DC and DCTERMS Namespaces (Často kladené otázky DCMI k jmenným prostorům DC a DCTERMS), https://web.archive.org/web/20171126043657/https://github.com/dcmi/repository/blob/master/mediawiki_wiki/FAQ/DC_and_DCTERMS_Namespaces.md, kde se diskutuje o důvodech pro termíny ve dvou jmenných prostorech. Obvyklou praxí je používat stejný štítek, pokud jsou k dispozici oba. Štítky nemají žádný vliv na vyhledávání informací a jsou pouze doporučením.",,,,,,,,,,,,,,,,,,,,
temporal,Temporal Coverage,Časový rozsah,,,Couverture Temporelle,,,,,,,Temporal characteristics of the resource. ,Časové charakteristiky zdroje. ,,,,,,,,,,"The coverage (extent or scope) of the content of the resource. Temporal coverage will typically include temporal period (a period label, date, or date range) to which the subjects of the media or media collection relate. If dates are mentioned, they SHOULD follow ISO 8601. When the resource is a Collection, this refers to the temporal coverage of the collection. Following dcterms:temporal, the value MUST be a URI.","Pokrytí (rozsah nebo objem) obsahu zdroje. Časové pokrytí obvykle zahrnuje časové období (označení období, datum nebo rozsah dat), ke kterému se vztahují témata médií nebo sbírky médií. Pokud jsou uvedena data, MĚLA BY být v souladu s normou ISO 8601. Pokud je zdroj sbírkou, vztahuje se to na časové pokrytí sbírky. V souladu s dcterms:temporal MUSÍ být hodnota URI.",,,,,,,,,,"See the DCMI User Guide dcterms:temporal entry, https://github.com/dcmi/repository/blob/master/mediawiki_wiki/User_Guide/Publishing_Metadata.md#dctermstemporal, for an example. dc:coverage may be used for string values of temporal coverage, but use the Geography Vocabulary for geographic coverage. String examples for use with dc:coverage include ""Jurassic"", ""Elizabethan"", ""Spring, 1957"". 2008-01-01/2008-06-30. If the resource is video or audio, it refers to the time span, if any, depicted by the resource. For live-media this is closely related to Original Date and Time (Example: the time depicted by a time-lapse video file of organism development), but for media with fictional content it is not.","Příklad najdete v uživatelské příručce DCMI dcterms:temporal entry, https://github.com/dcmi/repository/blob/master/mediawiki_wiki/User_Guide/Publishing_Metadata.md#dctermstemporal. dc:coverage lze použít pro řetězcové hodnoty časového pokrytí, ale pro geografické pokrytí použijte slovník Geography Vocabulary. Příklady řetězců pro použití s dc:coverage zahrnují „Jurassic“, „Elizabethan“, „Spring, 1957“. 2008-01-01/2008-06-30. Pokud se jedná o video nebo audio, odkazuje na časové rozpětí, pokud existuje, které zdroj zobrazuje. U živých médií to úzce souvisí s původním datem a časem (příklad: čas zobrazený časosběrným video souborem vývoje organismu), ale u médií s fiktivním obsahem tomu tak není.",,,,,,,,,,,,,,,,,,,,
