term_localName,label_en,label_cs,label_de,label_es,label_fr,label_ko,label_nl,label_ru,label_zh-Hans,label_zh-Hant,definition_en,definition_cs,definition_de,definition_es,definition_fr,definition_ko,definition_nl,definition_ru,definition_zh-Hans,definition_zh-Hant,usage_en,usage_cs,usage_de,usage_es,usage_fr,usage_ko,usage_nl,usage_ru,usage_zh-Hans,usage_zh-Hant,notes_en,notes_cs,notes_de,notes_es,notes_fr,notes_ko,notes_nl,notes_ru,notes_zh-Hans,notes_zh-Hant,examples_en,examples_cs,examples_de,examples_es,examples_fr,examples_ko,examples_nl,examples_ru,examples_zh-Hans,examples_zh-Hant
Address,Address,Adresa,,Dirección,Adresse,,,,,,A physical address for an organisational unit or person.,Fyzická adresa organizační jednotky nebo osoby.,,Una dirección física por una unidad organizacional o persona.,Adresse physique d'une entité organisationnelle ou d'une personne.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChronometricAge,Chronometric Age,Chronometrický věk,,Edad Cronométrica,Âge Chronométrique,,,,,,The age of a specimen or related materials that is generated from a dating assay.,"Stáří vzorku nebo souvisejících materiálů, které byly vytvořeny datovacím testem.",,La edad de un espécimen o material relacionado que es generado por un ensayo de datación.,L'âge d'un spécimen ou d'un matériel associé généré à partir d'un test de datation.,,,,,,,,,,,,,,,,"To represent a single age, enter the same value in both earliestChronometricAge and latestChronometricAge. Leaving one or both of these fields blank indicates that the value is unknown, has yet to be recorded or is not applicable to the material being described. We recommend that you do not use this class to indicate chronostratigraphy: it is intended to be used to reflect a chronometric age or range of ages determined via one or more named analytical protocols, methods or techniques.","Chcete-li reprezentovat jeden věk, zadejte stejnou hodnotu v obou položkách nejčasnější chronometrický věk a nejnovější chronometrický věk. Ponechání jednoho nebo obou těchto polí prázdných znamená, že hodnota je neznámá, musí být ještě zaznamenána nebo není použitelná pro popisovaný materiál. Doporučujeme, abyste tuto třídu nepoužívali k označení chronostratigrafie: je určena k tomu, aby odrážela chronometrický věk nebo věkové rozmezí určené pomocí jednoho nebo více pojmenovaných analytických protokolů, metod nebo technik.",,"Para representar una única edad, ingresar el mismo valor en ambos earliestChronometricAge y latestChronometricAge. Dejar uno de ambos en blanco indica que el valor es desconocido, aún no ha sido registrado o no es aplicable al material descrito. Recomendamos que no se utilice esta clase para indicar cronoestratigrafía: se destina para ser usada para reflejar la edad o rango de edades cronométrico mediante uno o más protocolos, métodos o técnicas analíticas mencionadas.","Pour indiquer un âge unique, saisir la même valeur dans les champs earliestChronometricAge et latestChronometricAge. Le fait de laisser un ou deux de ces champs vides indique que la valeur est inconnue, qu'elle n'a pas encore été enregistrée ou qu'elle ne s'applique pas au matériel décrit. Nous vous recommandons de ne pas utiliser cette classe pour indiquer la chronostratigraphie : elle est destinée à refléter un âge chronométrique ou une fourchette d'âges déterminés au moyen d'un ou de plusieurs protocoles, méthodes ou techniques analytiques spécifiés.",,,,,,,,,,,,,,,
CollectionStatusHistory,Collection Status History,Historie stavu sbírky,,Historial de Estados de la Colección,Historique des statuts d'une collection,,,,,,A record of current and past statuses of the object group and the reason for status changes.,Záznam aktuálních a minulých stavů skupiny objektů a důvod změn stavu.,,Un registro del estado actual y pasado del grupo de objetos y la razón de los cambios de estado.,Un historique des statuts actuels et passés du groupe d'objets et la raison des modifications de statut.,,,,,,,,,,,,,,,,"Use this class to record the history of and reason for changes in the status of the described collection. Types of status described by this class may, for example, include ownership, management, accessibility or accrual policy over time. Dates reflecting the start and end of the status described by this class should be recorded using an instance of TemporalCoverage. If temporalCoverageEndDateTime is empty, the status should be inferred to be the current status of the collection.","Pomocí této třídy můžete zaznamenat historii a důvod změn ve stavu popsané kolekce. Typy stavu popsané touto třídou mohou například zahrnovat vlastnictví, správu, přístupnost nebo akruální politiku v průběhu času. Data odrážející začátek a konec stavu popsaného touto třídou by měla být zaznamenána pomocí instance TemporalCoverage. Pokud je temporalCoverageEndDateTime prázdné, stav by měl být odvozen od aktuálního stavu kolekce.",,"Usar esta clase para registrar la historia y la razón de los cambios en el estado descrito en la colección. Los tipos de estados descritos para esta clase pueden, por ejemplo, incluir, propiedad, manejo, accesibilidad o política de acumulación en el tiempo. Fechas que reflejan el estado inicial y final descrito por esta clase deberían estar registrados usando una instancia de TemporalCoverage. Si temporalCoverageEndDate está vacía, se debería inferir que el estado es el estado actual de la colección.","Utiliser cette classe pour documenter l'historique et les raisons des changements de statut de la collection décrite. Les types de statut décrits par cette classe peuvent, par exemple, inclure la propriété, la gestion, l'accessibilité ou la politique d'accumulation au fil du temps. Les dates reflétant le début et la fin de l'état décrit par cette classe doivent être enregistrées à l'aide d'une instance de TemporalCoverage. Si temporalCoverageEndDateTime est vide, le statut doit être considéré comme actuel pour la collection.",,,,,,,,,,,,,,,
ContactDetail,Contact Detail,Detail kontaktu,,Detalle del Contacto,Coordonnées,,,,,,Details of a method by which an entity such as a Person or OrganisationalUnit may be contacted.,"Podrobnosti o metodě, kterou lze kontaktovat subjekt, jako je Osoba nebo Organizační jednotka.",,"Detalles de un método por el cual una entidad, tal como una ""Person"" (persona) o ""OrganisationalUnit"" (unidad organizacional) puede ser contactada.",Détails d'une méthode par laquelle une entité telle qu'une Personne ou une Entité Organisationnelle peut être contactée.,,,,,,,,,,,,,,,,"The Address class should be used to store physical or postal addresses. For all other types of contact details, this class should be used.",Třída Address by se měla používat k ukládání fyzických nebo poštovních adres. Pro všechny ostatní typy kontaktních údajů by měla být použita tato třída.,,"La clase Address debería ser usada para almacenar direcciones físicas o postales. Para todos los otros tipos de detalles del contacto, esta clase debe ser usada.","La classe Adresse doit être utilisée pour stocker les adresses physiques ou postales. Pour tous les autres types de coordonnées, il convient d'utiliser cette classe.",,,,,,,,,,,,,,,
EcologicalContext,Ecological Context,Ekologické souvislosti,,Contexto Ecológico,Contexte Écologique,,,,,,"The ecological and/or biogeographic classification of the region from which objects associated with the ObjectGroup were collected, or where an Event took place.","Ekologická a/nebo biogeografická klasifikace oblasti, ze které byly objekty spojené s ObjectGroup shromážděny nebo kde se událost odehrála.",,"La clasificación ecológica y/o biogeográfica de la región en que los objetos asociados con el ObjectGroup fueron colectados, o donde un Event ocurrió.",Classification écologique et/ou biogéographique de la région dans laquelle les objets associés à l'ObjectGroup ont été collectés ou dans laquelle un Événement a eu lieu.,,,,,,,,,,,,,,,,"There is some conceptual overlap with the GeographicContext class with respect to geographic locations. This class should be used for biogeographic and ecological concepts, whereas for physical, political and administrative geographic locations, the GeographicContext class is more appropriate. Specific information about the habitat and ecological conditions that applied at the time that an event took place should be recorded in the `habitat` property of the Event class.","S třídou GeographicContext se pojmově překrývá, pokud jde o geografická místa. Tato třída by se měla používat pro biogeografické a ekologické koncepty, zatímco pro fyzické, politické a administrativní geografické lokality je vhodnější třída GeographicContext. Specifické informace o stanovištních a ekologických podmínkách, které platily v době, kdy se událost odehrála, by měly být zaznamenány ve vlastnosti `habitat` třídy Event.",,"Existe un traslape de conceptos con la clase GeographicContext respecto a la locación geográfica. Esta clase debería ser usada por conceptos biogeográficos y ecológicos, mientras que para locaciones geográficas físicas, políticas y administrativas, la clase GeographicContext es más apropiada. Información específica sobre el hábitat y las condiciones ecológicas que se aplican al tiempo en que el evento ocurrió deberían ser registradas en la propiedad `habitat` de la clase Event.","Il existe un certain chevauchement conceptuel avec la classe GeographicContext en ce qui concerne les lieux géographiques. Cette classe doit être utilisée pour les concepts biogéographiques et écologiques, tandis que pour les emplacements géographiques physiques, politiques et administratifs, la classe GeographicContext est plus appropriée. Les informations spécifiques sur l'habitat et les conditions écologiques qui prévalaient au moment où un événement a eu lieu doivent être enregistrées dans la propriété `habitat` de la classe Event.",,,,,,,,,,,,,,,
Event,Event,Událost,,Evento,Événement,,,,,,An action that occurs at some location during some time.,"Událost, která se odehrává na určitém místě v určitém čase.",,Una acción que ocurre en alguna ubicación durante algún momento.,Une action qui se produit à un endroit donné pendant un temps donné.,,,,,,,,,,,,,,,,Derived from dwc Class event (http://rs.tdwg.org/dwc/terms/version/Event-2018-09-06). This class has been defined under the ltc namespace because it only has a subset of the properties of DwC:Event. All ltc:Event properties are borrowed from and reference the dwc namespace. Examples of an Event include: A specimen collection process. A camera trap image capture. A marine trawl.,"Odvozeno z události třídy dwc (http://rs.tdwg.org/dwc/terms/version/Event-2018-09-06). Tato třída byla definována v rámci jmenného prostoru ltc, protože má pouze podmnožinu vlastností třídy DwC:Event. Všechny vlastnosti ltc:Event jsou převzaty z jmenného prostoru dwc a odkazují na něj. Mezi příklady události patří např: Proces sběru vzorků. Zachycení obrazu z kamerové pasti. Vlečná síť v moři.",,Derivada desde dwc Clase evento (http://rs.tdwg.org/dwc/terms/version/Event-2018-09-06). Esta clase ha sido definida bajo el namespace Itc debido a que solo tiene un subconjunto de propiedades de DwC:Event. Todas las propiedades ltc:Event son tomadas desde y referenciadas al namespace dwc. Ejemplo de un Evento incluye: Una proceso de colección de especímenes. Una imagen capturada por una cámara trampa. Un red barredera marina.,Dérivée de la classe DwC:Event (http://rs.tdwg.org/dwc/terms/version/Event-2018-09-06). Cette classe a été définie dans l'espace de noms ltc car elle ne possède qu'un sous-ensemble des propriétés de DwC:Event. Toutes les propriétés de ltc:Event sont empruntées à l'espace de noms dwc et y font référence. Voici quelques exemples d'événements : Un processus de collecte de spécimens. La capture d'une image par un piège photographique. Un chalut en mer.,,,,,,,,,,,,,,,
GeographicContext,Geographic Context,Geografické souvislosti,,Contexto Geográfico,Contexte Géographique,,,,,,"The geographic location from which objects associated with the ObjectGroup were collected, or where an Event took place.","Zeměpisná poloha, ze které byly shromážděny objekty spojené s danou skupinou objektů nebo kde se událost odehrála.",,"La ubicación geográfica en la que se recogieron los objetos asociados con el ObjectGroup, o donde tuvo lugar un Evento.",Lieu géographique où les objets associés à l'ObjectGroup ont été collectés ou où un Événement a eu lieu.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeologicalContext,Geological Context,Geologická souvislost,,Contexto geológico,Contexte Géologique,,,,,,"Geological information, such as stratigraphy, that qualifies a region or place.","Geologické informace, jako je stratigrafie, které charakterizují oblast nebo místo.",,"Información geológica, como la estratigrafía, que califica una región o un lugar.","Information géologique, telle que la stratigraphie, qui caractérise une région ou un lieu.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Identifier,Identifier,Identifikátor,,Identificador,Identifiant,,,,,,"A numeric, textual value, or reference such as an IRI, that can be used to uniquely identify the object to which it is attached.","Číselná, textová hodnota nebo odkaz, například IRI, který lze použít k jednoznačné identifikaci objektu, k němuž je připojen.",,"Valor numérico, textual o referencia, como un IRI, que puede utilizarse para identificar de forma única el objeto al que se adjunta.","Une valeur numérique, textuelle ou une référence telle qu'une IRI, qui peut être utilisée pour identifier de manière univoque l'objet auquel elle est rattachée.",,,,,,,,,,,,,,,,"Use this class to document stable identifiers that describe the collections and associated entities being represented in the collection description. For example, person identifiers, taxon identifiers, institution identifiers, organisational unit identifiers, gazetteer identifiers. Identifiers represented by this class may be globally unique, or unique within a given context.","Tuto třídu použijte k dokumentaci stabilních identifikátorů, které popisují sbírky a přidružené entity reprezentované v popisu sbírek. Například identifikátory osob, identifikátory taxonů, identifikátory institucí, identifikátory organizačních jednotek, identifikátory věstníků. Identifikátory reprezentované touto třídou mohou být globálně jedinečné nebo jedinečné v rámci daného kontextu.",,"Utilice esta clase para documentar identificadores estables que describan las colecciones y las entidades asociadas que se representan en la descripción de la colección. Por ejemplo, identificadores de personas, identificadores de taxones, identificadores de instituciones, identificadores de unidades organizativas, identificadores de nomenclátores. Los identificadores representados por esta clase pueden ser globalmente únicos o únicos dentro de un contexto determinado.","Utiliser cette classe pour documenter les identifiants stables qui décrivent les collections et les entités associées représentées dans la description de la collection. Par exemple, les identifiants de personnes, de taxons, d'institutions, d'entités organisationnelles ou d'index géographiques. Les identifiants représentés par cette classe peuvent être uniques au niveau global ou dans un contexte donné.",,,,,,,,,,,,,,,
LatimerCoreScheme,Latimer Core Scheme,Schéma Latimer Core,,Esquema Latimer Core,Schéma Latimer Core,,,,,,"A grouping of multiple ObjectGroups for a particular use case, purpose or implementation.","Seskupení více skupin objektů pro konkrétní případ použití, účel nebo implementaci.",,"Agrupación de varios ObjectGroups para un caso de uso, propósito o implementación concretos.","Un regroupement de plusieurs ObjectGroups pour un cas pratique, un objectif ou une mise en œuvre spécifiques.",,,,,,,,,,,,,,,,"Where the same objects within the same collection might be described by more than one ObjectGroup for different purposes (for examples, a 'Darwin Fossil Mammals' collection description might overlap with a 'Offsite Palaeontology' collection description), this class can be used to distinguish between them and avoid double-counting of metrics in queries against the data.","Pokud mohou být stejné objekty v rámci jedné sbírky popsány více než jednou skupinou ObjectGroup pro různé účely (například popis sbírky ""Darwin Fossil Mammals"" se může překrývat s popisem sbírky ""Offsite Palaeontology""), lze tuto třídu použít k jejich rozlišení a zabránit dvojímu započítávání metrik v dotazech na data.",,"Cuando los mismos objetos de una misma colección pueden ser descritos por más de un ObjectGroup con fines diferentes (por ejemplo, una descripción de la colección «Mamíferos fósiles de Darwin» puede solaparse con una descripción de la colección «Paleontología externa»), esta clase puede utilizarse para distinguirlos y evitar el doble cómputo de métricas en las consultas de los datos.","Lorsque les mêmes objets d'une même collection peuvent être décrits par plusieurs ObjectGroup à des fins différentes (par exemple, la description de la collection 'Darwin Fossil Mammals' qui peut recouper celle de la collection 'Offsite Palaeontology'), cette classe peut être utilisée pour les distinguer et éviter les doublons de mesures dans les requêtes sur les données.",,,,,,,,,,,,,,,
