identifier,context,text
accessURI:label,Label for Access URI http://rs.tdwg.org/dwc/terms/accessURI,Access URI
accessURI:rdfs_comment,Comment for Access URI http://rs.tdwg.org/dwc/terms/accessURI,A URI that uniquely identifies a service that provides a representation of the underlying resource.
accessURI:dcterms_description,Description for Access URI http://rs.tdwg.org/dwc/terms/accessURI,"Value might point to something offline, such as a published CD, etc. For example, the doi of a published CD would be a suitable value."
accessURI:skos_scopeNote,Usage for Access URI http://rs.tdwg.org/dwc/terms/accessURI,"If this resource can be acquired by an http request, its http URL SHOULD be given. If not, but it has some URI in another URI scheme, that MAY be given here."
associatedObservationReference:label,Label for Associated Observation Reference http://rs.tdwg.org/dwc/terms/associatedObservationReference,Associated Observation Reference
associatedObservationReference:rdfs_comment,Comment for Associated Observation Reference http://rs.tdwg.org/dwc/terms/associatedObservationReference,A reference to an observation associated with this resource.
associatedSpecimenReference:label,Label for Associated Specimen Reference http://rs.tdwg.org/dwc/terms/associatedSpecimenReference,Associated Specimen Reference
associatedSpecimenReference:rdfs_comment,Comment for Associated Specimen Reference http://rs.tdwg.org/dwc/terms/associatedSpecimenReference,A reference to a specimen associated with this resource.
associatedSpecimenReference:dcterms_description,Description for Associated Specimen Reference http://rs.tdwg.org/dwc/terms/associatedSpecimenReference,"Supports finding a specimen resource, where additional information is available. If several resources relate to the same specimen, these are implicitly related. Examples: for NHM ""BM 23974324"" for a barcoded or ""BM Smith 32"" for a non-barcoded specimen; for UNITS: ""TSB 28637""; for PMSL: ""PMSL-Lepidoptera-2534781"". Ideally this may be a URI identifying a specimen record that is available online."
attributionLinkURL:label,Label for Attribution Link URL http://rs.tdwg.org/dwc/terms/attributionLinkURL,Attribution Link URL
attributionLinkURL:rdfs_comment,Comment for Attribution Link URL http://rs.tdwg.org/dwc/terms/attributionLinkURL,"The URL where information about ownership, attribution, etc. of the resource may be found."
attributionLinkURL:dcterms_description,Description for Attribution Link URL http://rs.tdwg.org/dwc/terms/attributionLinkURL,"This URL may be used in creating a clickable logo. Providers should consider making this link as specific and useful to consumers as possible, e. g., linking to a metadata page of the specific image resource rather than to a generic page describing the owner or provider of a resource."
attributionLogoURL:label,Label for Attribution URL http://rs.tdwg.org/dwc/terms/attributionLogoURL,Attribution URL
attributionLogoURL:rdfs_comment,Comment for Attribution URL http://rs.tdwg.org/dwc/terms/attributionLogoURL,The URL of the icon or logo image to appear in source attribution.
attributionLogoURL:dcterms_description,Description for Attribution URL http://rs.tdwg.org/dwc/terms/attributionLogoURL,Entering this URL into a browser should only result in the icon (not in a webpage including the icon).
caption:label,Label for Caption http://rs.tdwg.org/dwc/terms/caption,Caption
caption:rdfs_comment,Comment for Caption http://rs.tdwg.org/dwc/terms/caption,"As alternative or in addition to description, a caption is free-form text to be displayed together with (rather than instead of) a resource that is suitable for captions (especially images)."
caption:dcterms_description,Description for Caption http://rs.tdwg.org/dwc/terms/caption,"If both description and caption are present in the metadata, a description is typically displayed instead of the resource, a caption together with the resource. Thus, in HTML it would be appropriate to use ac:caption values in figcaption elements. Often only one of description or caption is present; choose the term most appropriate for your metadata."
captureDevice:label,Label for Capture Device http://rs.tdwg.org/dwc/terms/captureDevice,Capture Device
captureDevice:rdfs_comment,Comment for Capture Device http://rs.tdwg.org/dwc/terms/captureDevice,Free form text describing the device or devices used to create the resource.
captureDevice:dcterms_description,Description for Capture Device http://rs.tdwg.org/dwc/terms/captureDevice,"It is best practice to record the device; this may include a combination such as camera plus lens, or camera plus microscope. Examples: ""Canon Supershot 2000"", ""Makroscan Scanner 2000"", ""Zeiss Axioscope with Camera IIIu"", ""SEM (Scanning Electron Microscope)""."
commenter:label,Label for Commenter http://rs.tdwg.org/dwc/terms/commenter,Commenter
commenter:rdfs_comment,Comment for Commenter http://rs.tdwg.org/dwc/terms/commenter,A URI denoting a person who created a comment.
commenter:dcterms_description,Description for Commenter http://rs.tdwg.org/dwc/terms/commenter,"See also Reviewer Comments for the distinction between Comments and Reviewer Comments. See also the entry for ac:commenterLiteral and the section Namespaces, Prefixes and Term Names in the Audiovisual Core Term List document for discussion of the rationale for separate terms taking URI values from those taking Literal values where both are possible. Normal practice is to use the same Label if both are provided. Labels have no effect on information discovery and are only suggestions."
commenter:skos_scopeNote,Usage for Commenter http://rs.tdwg.org/dwc/terms/commenter,Implementers and communities of practice MAY produce restrictions or recommendations on the choice of vocabularies.
commenterLiteral:label,Label for Commenter http://rs.tdwg.org/dwc/terms/commenterLiteral,Commenter
commenterLiteral:rdfs_comment,Comment for Commenter http://rs.tdwg.org/dwc/terms/commenterLiteral,"The name of a person who created a comment, or the literal ""anonymous"" (= anonymously commented)."
