term_localName,label_en,label_cs,label_de,label_es,label_fr,label_ko,label_nl,label_pt,label_ru,label_zh-Hans,label_zh-Hant,definition_en,definition_cs,definition_de,definition_es,definition_fr,definition_ko,definition_nl,definition_pt,definition_ru,definition_zh-Hans,definition_zh-Hant,usage_en,usage_cs,usage_de,usage_es,usage_fr,usage_ko,usage_nl,usage_pt,usage_ru,usage_zh-Hans,usage_zh-Hant,notes_en,notes_cs,notes_de,notes_es,notes_fr,notes_ko,notes_nl,notes_pt,notes_ru,notes_zh-Hans,notes_zh-Hant,examples_en,examples_cs,examples_de,examples_es,examples_fr,examples_ko,examples_nl,examples_pt,examples_ru,examples_zh-Hans,examples_zh-Hant
r,subject orientation concept scheme,koncepční schéma orientace na předmět,Schemenkonzept der Orientierung,esquema de concepto de orientación de sujeto,,,,esquema de conceito de orientação de sujeito,,,,a SKOS concept scheme for orientation,,Schemenkonzept der Orientierung,un esquema de concepto SKOS para la orientación,,,,um esquema de conceito SKOS para orientação,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r0000,unspecified orientation,nespecifikovaná orientace,Ansichtsseite unbekannt,orientación no especificada,,,,orientação não especificada,,,,orientation is not known because it is not specified,"orientace není známa, protože není specifikována",Ansichtsseite unbekannt,la orientación no se conoce porque no se especifica,,,,a orientação não é conhecida porque não foi especificada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r0001,anterior side,přední strana,Vorderseite,cara anterior,,,,lado anterior,,,,view of the side towards the head or forward end of the organism,,Ansicht der Vorderseite (zum Kopf oder zum Vorderende gerichtet) des Organismus,vista del lado hacia la cabeza o extremo delantero del organismo,,,,vista do lado em direção à cabeça ou extremidade anterior do organismo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r0002,posterior side,,Hinterseite,cara posterior,,,,lado posterior,,,,view of the side away from the head or towards the rear end of the organism,,Ansicht der Hinterseite (zum Hinterende gerichtet) des Organismus,vista del lado opuesto a la cabeza o hacia el extremo posterior del organismo,,,,vista do lado afastado da cabeça ou em direção à extremidade posterior do organismo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r0003,lateral side,,seitlich/Lateralseite,cara lateral,,,,vista lateral,,,,view of the side perpendicular to the main axis of the organism,,seitliche Ansicht des Körpers,vista del lado perpendicular al eje principal del organismo,,,,vista do lado perpendicular ao eixo principal do organismo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r0004,right side,,rechte Seite,lado derecho,,,,lado direito,,,,view of the right side of a whole bilaterally symmetric organism,,Ansicht der rechten Seite eines bilateralen Organismus,vista del lado derecho de todo un organismo con simetría bilateral,,,,vista do lado direito de um organismo completamente simétrico bilateralmente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r0005,left side,,linke Seite,lado izquierdo,,,,lado esquerdo,,,,view of the left side of a whole bilaterally symmetric organism,,Ansicht  der linken Seite eines bilateralen Organismus,vista del lado izquierdo de todo un organismo bilateralmente simétrico,,,,vista do lado esquerdo de um organismo completamente simétrico bilateralmente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r0006,dorsal side,,Dorsalseite,cara dorsal,,,,face dorsal,,,,view of the side dorsal to the frontal plane of a bilaterally symmetric organism,,Ansicht der Oberseite (Dorsum) eines bilateralen Organsimus,vista del lado dorsal al plano frontal de un organismo bilateralmente simétrico,,,,vista da face dorsal em relação ao plano frontal de um organismo completamente simétrico bilateralmente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r0007,ventral side,,Ventralseite,cara ventral,,,,face ventral,,,,view of the side ventral to the frontal plane of a bilaterally symmetric organism,,Ansicht der Unterseite (Ventrum) eines bilateralen Organsimus,vista del lado ventral al plano frontal de un organismo bilateralmente simétrico,,,,vista da face ventral em relação ao plano frontal de um organismo completamente simétrico bilateralmente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r0008,upper side,,Adaxialseite,cara adaxial,,,,face adaxial,,,,view of the side of the part oriented toward the central axis of a plant (adaxial),,Ansicht der zur Zentralachse gerichteten Seite einer Pflanze,vista del lado de la parte orientada hacia el eje central de una planta (adaxial),,,,vista da face da estrutura orientada para o eixo central de uma planta (adaxial),,,,"In plants, use this term rather than ""dorsal"". For types of plants or fungi having horizontal parts and lacking a clear central axis, this is the surface away from the ground. ",,,,,,,,,,,BSPO has adaxial/abaxial axis http://purl.obolibrary.org/obo/BSPO_0000195 but not the sides defined by that axis,,,,,,,,,,,,,,,,,,,,,
