term_localName,label,rdfs_comment,dcterms_description,examples,rdf_type,tdwgutility_organizedInClass,tdwgutility_decision
ac:3DResourceType,3D Resource Type,Description of the media format but which is distinct from file format as implied by extension: controlled vocabulary,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Service Access Point Vocabulary,https://github.com/tdwg/ac/issues/243
ac:colorBoolean,Color Boolean,"Surface Quality: Indicates whether each vertex with a unique x,y,z coordinate or polygonal face also has an associated color specified. Values will be “True” / “False”","Use this term in combination with these other AC terms -- i.e., when: 
- ac:3DResourceType is point cloud or polygonal mesh
- and dc:format(s) is any of: pts, off, ply, obj, stl, glb, gltf, X3d, wrl
- and any ac:resourceCreationTechnique(s)",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Service Access Point Vocabulary,https://github.com/tdwg/ac/issues/243
ac:faceCount,Face Count,Dimensions: Number of triangles or polygons with a unique set of three or more points as their vertices,"Use this term in combination with these other AC terms -- i.e., when: 
- ac:3DResourceType is a polygnal mesh
- and dc:format(s) is any of: off, ply, obj, stl, glb, gltf, X3d, wrl
- and any ac:resourceCreationTechnique(s)",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Service Access Point Vocabulary,https://github.com/tdwg/ac/issues/243
ac:normalsBoolean,Normals Boolean,Surface Quality: Indicates whether each vertex or polygonal face also has an associated normal vector specified. Values will be “True” / “False”,"Use this term in combination with these other AC terms -- i.e., when: 
- ac:3DResourceType is point cloud or polygonal mesh
- and dc:format(s) is any of: pts, off, ply, obj, stl, glb, gltf, X3d, wrl
- and any ac:resourceCreationTechnique(s)",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Service Access Point Vocabulary,https://github.com/tdwg/ac/issues/243
ac:numberOfImages,Number of Images,Dimensions: The number of images or z-axis pixels that provide information on a 3D scene,"Additional usage notes for “numberOfImages”: This term shall be used to specify the number of files or slices in a projection series (CT), reconstructed image series (CT, MRI), or that were collected in a photogrammetry session. In cases where volume raster data is represented as a single file (Nifti, NRRD, 3D tiff, dicom Multi-files) it should be used to give the number of Z axis pixels. Other possible uses include any case where each file in a collection represents a part or a view of a single or multiple focal objects that together can be used to understand the 3D nature of the focal object(s). For instance, raw data from laser scans and structured light scans often include a number of partial meshes that represent different parts of the scanned object which need to be processed through alignment and merging before rendering as a full 3D object.

Use this term in combination with these other AC terms -- i.e., when: 
- ac:3DResourceType is any of the following values: multi-file projection series, multi-file image slices series, single file image slice series, image collections
- and dc:format(s) is any of: ""raw"", dcm, tiff, bmp, png, jpeg, nifti, nrrd, ""zip""
- and any ac:resourceCreationTechnique(s)",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Service Access Point Vocabulary,https://github.com/tdwg/ac/issues/243
ac:pixelXSpacing,Pixel X Spacing,"Resolution: The linear distance between each pixel in the X direction with units specified by associated Library of Congress Bibframe term, bf:Unit","Use this term in combination with these other AC terms -- i.e., when: 
- ac:3DResourceType is any of: multi-file projection series, multi-file image slice series, single file volume image
- and dc:format(s) is any of: ""raw"", dcm, tiff, bmp, png, jpeg, nifti, nrrd, ""zip""
- and ac:resourceCreationTechnique is any of: CT, MRI, PET, Neutron, Synchotron, confocal microscopy, optical image stacking",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Service Access Point Vocabulary,https://github.com/tdwg/ac/issues/243
ac:pixelYSpacing,Pixel Y Spacing,"Resolution: The linear distance between each pixel in the Y direction with units specified by associated Library of Congress Bibframe term, bf:Unit","Use this term in combination with these other AC terms -- i.e., when: 
- ac:3DResourceType is any of: multi-file projection series, multi-file image slice series, single file volume image
- and dc:format(s) is any of: ""raw"", dcm, tiff, bmp, png, jpeg, nifti, nrrd, ""zip""
- and ac:resourceCreationTechnique(s) is any of: CT, MRI, PET, Neutron, Synchotron, confocal microscopy, optical image stacking",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Service Access Point Vocabulary,https://github.com/tdwg/ac/issues/243
ac:pixelZSpacing,Pixel Z Spacing,"Resolution: The linear distance between each pixel in the Z direction with units specified by associated Library of Congress Bibframe term, bf:Unit","Use this term in combination with these other AC terms -- i.e., when: 
- ac:3DResourceType is any of: multi-file projection series, multi-file image slice series, single file volume image
- and dc:format(s) is any of: ""raw"", dcm, tiff, bmp, png, jpeg, nifti, nrrd, ""zip""
- and ac:resourceCreationTechnique(s) is any of: CT, MRI, PET, Neutron, Synchotron, confocal microscopy, optical image stacking",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Service Access Point Vocabulary,https://github.com/tdwg/ac/issues/243
ac:pointCount,Point Count,"Dimensions: Number of vertices with unique 3D X, Y, Z coordinates","Use this term in combination with these other AC terms -- i.e., when: 
- ac:3DResourceType is point cloud or polygonal mesh
- and dc:format(s) is any of: pts, off, ply, obj, stl, glb, gltf, X3d, wrl
- and any ac:resourceCreationTechnique(s)",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Service Access Point Vocabulary,https://github.com/tdwg/ac/issues/243
ac:resourceCreationTechnique,Resource Creation Technique,"Field gives the modality of the 3D resource creation event according to standard terms being developed by this group: controlled vocabulary

- existing term's definition http://rs.tdwg.org/ac/terms/resourceCreationTechnique.htm ",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Resource Creation Vocabulary,https://github.com/tdwg/ac/issues/243
