termVersion,term,label,definition
http://rs.tdwg.org/dwc/terms/continent-2009-04-24,http://rs.tdwg.org/dwc/terms/continent,Continent,The name of the continent in which the Location occurs. Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.
http://rs.tdwg.org/dwc/terms/coordinatePrecision-2009-04-24,http://rs.tdwg.org/dwc/terms/coordinatePrecision,Coordinate Precision,A decimal representation of the precision of the coordinates given in the decimalLatitude and decimalLongitude.
http://rs.tdwg.org/dwc/terms/coordinateUncertaintyInMeters-2009-04-24,http://rs.tdwg.org/dwc/terms/coordinateUncertaintyInMeters,Coordinate Uncertainty In Meters,"The horizontal distance (in meters) from the given decimalLatitude and decimalLongitude describing the smallest circle containing the whole of the Location. Leave the value empty if the uncertainty is unknown, cannot be estimated, or is not applicable (because there are no coordinates). Zero is not a valid value for this term."
http://rs.tdwg.org/dwc/terms/country-2009-04-24,http://rs.tdwg.org/dwc/terms/country,Country,The name of the country or major administrative unit in which the Location occurs. Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.
http://rs.tdwg.org/dwc/terms/countryCode-2009-04-24,http://rs.tdwg.org/dwc/terms/countryCode,Country Code,The standard code for the country in which the Location occurs. Recommended best practice is to use ISO 3166-1-alpha-2 country codes.
http://rs.tdwg.org/dwc/terms/county-2009-04-24,http://rs.tdwg.org/dwc/terms/county,County,"The full, unabbreviated name of the next smaller administrative region than stateProvince (county, shire, department, etc.) in which the Location occurs."
http://rs.tdwg.org/dwc/terms/decimalLatitude-2009-04-24,http://rs.tdwg.org/dwc/terms/decimalLatitude,Decimal Latitude,"The geographic latitude (in decimal degrees, using the spatial reference system given in geodeticDatum) of the geographic center of a Location. Positive values are north of the Equator, negative values are south of it. Legal values lie between -90 and 90, inclusive."
http://rs.tdwg.org/dwc/terms/decimalLongitude-2009-04-24,http://rs.tdwg.org/dwc/terms/decimalLongitude,Decimal Longitude,"The geographic longitude (in decimal degrees, using the spatial reference system given in geodeticDatum) of the geographic center of a Location. Positive values are east of the Greenwich Meridian, negative values are west of it. Legal values lie between -180 and 180, inclusive."
http://rs.tdwg.org/dwc/terms/footprintSpatialFit-2009-04-24,http://rs.tdwg.org/dwc/terms/footprintSpatialFit,Footprint Spatial Fit,"The ratio of the area of the footprint (footprintWKT) to the area of the true (original, or most specific) spatial representation of the Location. Legal values are 0, greater than or equal to 1, or undefined. A value of 1 is an exact match or 100% overlap. A value of 0 should be used if the given footprint does not completely contain the original representation. The footprintSpatialFit is undefined (and should be left blank) if the original representation is a point and the given georeference is not that same point. If both the original and the given georeference are the same point, the footprintSpatialFit is 1."
http://rs.tdwg.org/dwc/terms/footprintSRS-2009-07-06,http://rs.tdwg.org/dwc/terms/footprintSRS,Footprint SRS,"A Well-Known Text (WKT) representation of the Spatial Reference System (SRS) for the footprintWKT of the Location. Do not use this term to describe the SRS of the decimalLatitude and decimalLongitude, even if it is the same as for the footprintWKT - use the geodeticDatum instead."
http://rs.tdwg.org/dwc/terms/footprintWKT-2009-04-24,http://rs.tdwg.org/dwc/terms/footprintWKT,Footprint WKT,"A Well-Known Text (WKT) representation of the shape (footprint, geometry) that defines the Location. A Location may have both a point-radius representation (see decimalLatitude) and a footprint representation, and they may differ from each other."
http://rs.tdwg.org/dwc/terms/geodeticDatum-2009-04-24,http://rs.tdwg.org/dwc/terms/geodeticDatum,Geodetic Datum,"The ellipsoid, geodetic datum, or spatial reference system (SRS) upon which the geographic coordinates given in decimalLatitude and decimalLongitude as based. Recommended best practice is use the EPSG code as a controlled vocabulary to provide an SRS, if known. Otherwise use a controlled vocabulary for the name or code of the geodetic datum, if known. Otherwise use a controlled vocabulary for the name or code of the ellipsoid, if known. If none of these is known, use the value ""unknown""."
http://rs.tdwg.org/dwc/terms/georeferencedBy-2009-04-24,http://rs.tdwg.org/dwc/terms/georeferencedBy,Georeferenced By,"A list (concatenated and separated) of names of people, groups, or organizations who determined the georeference (spatial representation) for the Location."
http://rs.tdwg.org/dwc/terms/georeferenceProtocol-2009-04-24,http://rs.tdwg.org/dwc/terms/georeferenceProtocol,Georeference Protocol,"A description or reference to the methods used to determine the spatial footprint, coordinates, and uncertainties."
