document_modified,version,versionLocalName,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,term_localName,term_isDefinedBy,term_created,term_modified,term_deprecated,replaces_term,replaces1_term,replaces2_term,label,rdfs_comment,dcterms_description,rdf_type,rdfs_subPropertyOf,dwcattributes_abcdEquivalence,dwcattributes_organizedInClass,dwcattributes_decision,rdfs_seeAlso,rdf_about
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/iri/version/inDescribedPlace-2015-03-27,inDescribedPlace-2015-03-27,http://rs.tdwg.org/dwc/iri/version/,2015-03-27,recommended,,,,inDescribedPlace,http://rs.tdwg.org/dwc/iri/,2015-03-27,2015-03-27,,,,,In Described Place,Use to link a dcterms:Location instance subject to the lowest level standardized hierarchically-described resource. Recommended best practice is to use an IRI from a controlled registry.,"A ""convenience property"" that replaces Darwin Core literal-value terms related to locations. See Section 2.7.5 of the Darwin Core RDF Guide for details.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,not in ABCD,http://purl.org/dc/terms/Location,,,http://rs.tdwg.org/dwc/iri/inDescribedPlace-2015-03-27
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/iri/version/identifiedBy-2015-03-27,identifiedBy-2015-03-27,http://rs.tdwg.org/dwc/iri/version/,2015-03-27,recommended,,,,identifiedBy,http://rs.tdwg.org/dwc/iri/,2015-03-27,2015-03-27,,,,,Identified By (IRI),"A person, group, or organization who assigned the Taxon to the subject.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/Identifications/Identification/Identifiers/IdentifiersText,http://rs.tdwg.org/dwc/terms/Identification,,http://rs.tdwg.org/dwc/terms/identifiedBy,http://rs.tdwg.org/dwc/iri/identifiedBy-2015-03-27
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/iri/version/recordedBy-2015-03-27,recordedBy-2015-03-27,http://rs.tdwg.org/dwc/iri/version/,2015-03-27,recommended,,,,recordedBy,http://rs.tdwg.org/dwc/iri/,2015-03-27,2015-03-27,,,,,Recorded By (IRI),"A person, group, or organization responsible for recording the original Occurrence.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/Gathering/GatheringAgents/GatheringAgentsText,http://rs.tdwg.org/dwc/terms/Occurrence,,http://rs.tdwg.org/dwc/terms/recordedBy,http://rs.tdwg.org/dwc/iri/recordedBy-2015-03-27
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/iri/version/toTaxon-2015-03-27,toTaxon-2015-03-27,http://rs.tdwg.org/dwc/iri/version/,2015-03-27,recommended,,,,toTaxon,http://rs.tdwg.org/dwc/iri/,2015-03-27,2015-03-27,,,,,To Taxon,"Use to link a dwc:Identification instance subject to a taxonomic entity such as a taxon, taxon concept, or taxon name use.","A ""convenience property"" that replaces Darwin Core literal-value terms related to taxonomic entities. See Section 2.7.4 of the Darwin Core RDF Guide for details.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,not in ABCD,http://rs.tdwg.org/dwc/terms/Identification,,,http://rs.tdwg.org/dwc/iri/toTaxon-2015-03-27
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/iri/version/inCollection-2015-03-27,inCollection-2015-03-27,http://rs.tdwg.org/dwc/iri/version/,2015-03-27,recommended,,,,inCollection,http://rs.tdwg.org/dwc/iri/,2015-03-27,2015-03-27,,,,,In Collection,Use to link any subject resource that is part of a collection to the collection containing the resource. Recommended best practice is to use an IRI from a controlled registry.,"A ""convenience property"" that replaces literal-value terms related to collections and institutions. See Section 2.7.3 of the Darwin Core RDF Guide for details.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,not in ABCD,,,,http://rs.tdwg.org/dwc/iri/inCollection-2015-03-27
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/iri/version/georeferencedBy-2015-03-27,georeferencedBy-2015-03-27,http://rs.tdwg.org/dwc/iri/version/,2015-03-27,recommended,,,,georeferencedBy,http://rs.tdwg.org/dwc/iri/,2015-03-27,2015-03-27,,,,,Georeferenced By (IRI),"A person, group, or organization who determined the georeference (spatial representation) for the Location.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,not in ABCD,http://purl.org/dc/terms/Location,,http://rs.tdwg.org/dwc/terms/georeferencedBy,http://rs.tdwg.org/dwc/iri/georeferencedBy-2015-03-27
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/iri/version/behavior-2015-03-27,behavior-2015-03-27,http://rs.tdwg.org/dwc/iri/version/,2015-03-27,recommended,,,,behavior,http://rs.tdwg.org/dwc/iri/,2015-03-27,2015-03-27,,,,,Behavior (IRI),A description of the behavior shown by the subject at the time the Occurrence was recorded.  Recommended best practice is to use a controlled vocabulary.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,not in ABCD,http://rs.tdwg.org/dwc/terms/Occurrence,,http://rs.tdwg.org/dwc/terms/behavior,http://rs.tdwg.org/dwc/iri/behavior-2015-03-27
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/iri/version/dataGeneralizations-2015-03-27,dataGeneralizations-2015-03-27,http://rs.tdwg.org/dwc/iri/version/,2015-03-27,recommended,,,,dataGeneralizations,http://rs.tdwg.org/dwc/iri/,2015-03-27,2015-03-27,,,,,Data Generalizations (IRI),Actions taken to make the shared data less specific or complete than in its original form. Suggests that alternative data of higher quality may be available on request.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,not in ABCD,,,http://rs.tdwg.org/dwc/terms/dataGeneralizations,http://rs.tdwg.org/dwc/iri/dataGeneralizations-2015-03-27
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/iri/version/disposition-2015-03-27,disposition-2015-03-27,http://rs.tdwg.org/dwc/iri/version/,2015-03-27,recommended,,,,disposition,http://rs.tdwg.org/dwc/iri/,2015-03-27,2015-03-27,,,,,Disposition (IRI),The current state of a specimen with respect to the collection identified in collectionCode or collectionID. Recommended best practice is to use a controlled vocabulary.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/SpecimenUnit/Disposition,http://rs.tdwg.org/dwc/terms/Occurrence,,http://rs.tdwg.org/dwc/terms/disposition,http://rs.tdwg.org/dwc/iri/disposition-2015-03-27
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/iri/version/earliestGeochronologicalEra-2015-03-27,earliestGeochronologicalEra-2015-03-27,http://rs.tdwg.org/dwc/iri/version/,2015-03-27,recommended,,,,earliestGeochronologicalEra,http://rs.tdwg.org/dwc/iri/,2015-03-27,2015-03-27,,,,,Earliest Geochronological Era,Use to link a dwc:GeologicalContext instance to chronostratigraphic time periods at the lowest possible level in a standardized hierarchy.   Use this property to point to the earliest possible geological time period from which the cataloged item was collected. Recommended best practice is to use an IRI from a controlled vocabulary.,"A ""convenience property"" that replaces Darwin Core literal-value terms related to geological context. See Section 2.7.6 of the Darwin Core RDF Guide for details.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,not in ABCD,http://rs.tdwg.org/dwc/terms/GeologicalContext,,,http://rs.tdwg.org/dwc/iri/earliestGeochronologicalEra-2015-03-27
